,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2
0,8.81,9.42,0.61,9.42,8.75,8.67,0.07,8.75,2.67,1.23,2.67,0.55,4.70,9.83,5.84,513.32,0.94,0.83,-3.74,-4.71,3.89,2.15
1,8.92,8.84,0.08,8.92,8.87,8.66,0.21,8.87,1.45,1.37,1.45,0.45,7.58,12.91,6.46,532.71,0.92,0.89,-4.81,-4.44,2.74,2.76
2,8.81,8.95,0.14,8.95,8.48,8.90,0.42,8.90,0.90,1.48,1.48,0.56,5.81,11.38,6.44,556.67,0.77,0.94,-4.43,-3.28,1.76,4.35
3,8.58,8.66,0.07,8.66,8.67,8.74,0.07,8.74,1.56,1.41,1.56,0.61,5.99,10.97,5.89,498.89,0.93,0.89,-4.68,-4.09,2.87,3.10
4,8.54,8.95,0.42,8.95,8.96,8.93,0.03,8.96,1.97,0.92,1.97,0.82,5.10,10.01,5.68,490.95,0.92,0.94,-4.40,-4.28,3.20,3.42
5,8.94,8.90,0.03,8.94,8.75,8.88,0.14,8.88,0.94,1.07,1.07,0.86,4.32,7.59,3.91,326.55,0.86,0.84,-4.78,-4.83,2.24,2.11
6,8.91,9.37,0.45,9.37,9.02,9.01,0.01,9.02,1.18,0.78,1.18,0.65,5.93,11.13,6.10,520.70,0.85,0.91,-4.32,-4.01,2.68,3.44
7,8.95,9.00,0.05,9.00,8.99,8.92,0.08,8.99,1.25,0.97,1.25,0.78,7.68,12.49,5.96,480.57,0.89,0.91,-4.57,-4.54,2.74,3.05
8,8.84,9.41,0.57,9.41,9.06,8.89,0.17,9.06,1.41,0.82,1.41,0.76,5.57,10.12,5.38,454.55,0.96,0.79,-3.88,-4.73,3.88,1.80
9,9.17,9.33,0.16,9.33,8.88,8.79,0.09,8.88,0.83,0.85,0.85,0.81,5.30,8.43,3.93,313.82,0.80,0.86,-5.06,-4.71,1.63,2.44
10,8.91,9.26,0.35,9.26,9.13,8.75,0.38,9.13,1.33,0.80,1.33,0.79,6.07,11.54,6.38,547.05,0.94,0.88,-3.84,-4.32,3.87,2.90
11,8.66,8.65,0.01,8.66,8.84,8.78,0.06,8.84,1.66,0.98,1.66,0.77,5.85,10.41,5.43,455.78,0.94,0.84,-4.27,-4.21,3.26,2.57
12,8.84,9.38,0.54,9.38,8.96,8.73,0.23,8.96,0.75,0.88,0.88,0.79,4.79,9.80,5.72,500.37,1.00,0.66,-3.60,-3.61,4.42,1.75
13,9.17,9.76,0.59,9.76,9.12,9.51,0.39,9.51,1.17,0.63,1.17,0.91,5.61,9.68,4.91,407.07,0.92,0.84,-3.83,-5.34,3.90,1.87
14,9.21,8.85,0.36,9.21,9.01,8.89,0.12,9.01,0.70,1.59,1.59,0.64,7.17,12.61,6.51,543.34,0.92,0.87,-3.71,-4.42,3.80,2.63
15,8.74,8.40,0.34,8.74,8.51,8.75,0.25,8.75,1.52,1.86,1.86,0.60,6.09,10.69,5.51,459.95,0.83,0.88,-4.85,-4.16,2.00,3.10
16,9.03,8.70,0.33,9.03,8.99,8.97,0.02,8.99,0.86,1.41,1.41,0.66,7.95,12.25,5.49,430.14,0.82,0.96,-5.13,-4.15,1.73,3.64
17,8.54,9.07,0.53,9.07,8.80,8.85,0.06,8.85,3.24,1.00,3.24,0.56,6.73,12.94,7.21,620.44,0.96,0.77,-3.69,-3.43,4.11,2.76
18,9.13,9.33,0.20,9.33,9.23,8.92,0.31,9.23,1.78,1.29,1.78,0.57,5.54,10.61,5.90,506.69,0.93,0.82,-3.89,-4.52,3.70,2.27
19,9.27,9.02,0.25,9.27,8.87,9.17,0.30,9.17,1.11,0.91,1.11,0.78,6.01,10.94,5.84,493.38,0.70,0.96,-3.75,-3.81,2.06,3.97
20,9.30,8.99,0.32,9.30,9.46,9.21,0.25,9.46,0.61,1.33,1.33,0.85,7.02,11.01,5.05,399.22,0.89,0.93,-5.21,-4.62,2.42,3.30
21,9.62,8.63,0.99,9.62,9.21,9.09,0.12,9.21,1.23,1.35,1.35,0.62,5.90,10.26,5.24,435.91,0.68,0.97,-4.29,-4.20,1.42,3.77
22,9.28,8.87,0.41,9.28,9.03,8.75,0.28,9.03,0.92,1.01,1.01,0.59,6.79,11.21,5.44,441.81,0.93,0.90,-4.52,-5.12,3.16,2.39
23,9.06,8.92,0.14,9.06,9.07,8.99,0.08,9.07,0.63,1.02,1.02,0.81,5.96,10.50,5.43,453.91,0.82,0.96,-4.57,-4.29,2.21,3.52
24,8.72,9.37,0.65,9.37,8.85,9.19,0.33,9.19,2.04,0.47,2.04,0.69,3.85,9.00,5.73,514.90,0.94,0.83,-3.50,-5.03,4.07,1.81
25,9.00,9.33,0.33,9.33,9.29,9.05,0.24,9.29,1.61,0.45,1.61,0.53,8.12,13.99,7.09,586.89,0.96,0.91,-3.85,-4.57,3.96,2.83
26,9.20,8.94,0.26,9.20,9.12,8.96,0.17,9.12,0.66,0.47,0.66,0.80,5.05,9.12,4.83,406.89,0.84,0.93,-4.76,-4.68,2.35,3.11
27,8.73,8.77,0.03,8.77,8.76,8.67,0.09,8.76,0.59,1.76,1.76,0.66,5.90,12.18,7.17,628.46,0.93,0.90,-4.12,-3.57,3.43,3.60
28,8.65,9.26,0.61,9.26,8.86,9.05,0.18,9.05,1.86,0.71,1.86,0.85,6.20,10.66,5.39,446.34,0.92,0.84,-4.59,-4.47,2.89,2.38
29,9.02,9.64,0.62,9.64,9.08,9.12,0.04,9.12,1.14,0.64,1.14,0.68,5.82,10.25,5.30,442.34,0.90,0.79,-3.90,-4.88,3.53,1.71
30,9.64,8.75,0.89,9.64,9.32,8.95,0.37,9.32,0.42,1.31,1.31,0.63,7.57,12.29,5.86,472.35,0.73,0.99,-4.68,-3.80,1.43,4.17
31,9.11,9.17,0.06,9.17,8.84,8.92,0.08,8.92,0.90,1.10,1.10,0.95,7.12,12.07,6.02,495.32,0.77,0.95,-4.25,-3.70,2.16,4.21
32,9.18,8.93,0.26,9.18,8.93,8.79,0.14,8.93,0.80,1.01,1.01,0.84,5.50,9.36,4.69,386.46,0.89,0.95,-5.12,-4.70,2.28,3.03
33,8.65,9.24,0.59,9.24,8.89,8.80,0.09,8.89,1.44,0.85,1.44,0.65,5.56,10.33,5.61,477.39,0.93,0.78,-4.13,-4.57,3.46,1.88
34,9.33,8.87,0.46,9.33,9.08,8.78,0.30,9.08,0.56,0.62,0.62,0.65,5.79,9.36,4.44,356.67,0.77,0.90,-4.71,-4.59,1.66,2.85
35,8.34,9.27,0.93,9.27,8.59,8.90,0.31,8.90,1.30,0.61,1.30,0.78,7.13,12.16,6.10,503.14,0.94,0.87,-3.77,-4.91,3.84,2.24
36,9.15,8.97,0.18,9.15,9.02,9.06,0.04,9.06,0.59,0.93,0.93,0.63,6.88,12.61,6.76,573.11,0.85,0.91,-3.90,-3.83,3.09,3.72
37,8.66,8.74,0.08,8.74,8.70,8.79,0.10,8.79,1.20,0.95,1.20,0.77,7.94,12.92,6.17,498.07,0.92,0.86,-3.60,-4.90,3.98,2.19
38,8.52,9.28,0.77,9.28,8.96,9.29,0.34,9.29,1.70,1.34,1.70,0.86,6.07,10.45,5.29,437.80,0.89,0.82,-4.35,-4.38,2.92,2.32
39,9.20,8.63,0.56,9.20,9.02,8.83,0.19,9.02,0.86,0.73,0.86,0.69,5.36,9.68,5.13,432.16,0.90,0.89,-4.57,-4.58,2.92,2.72
40,9.16,9.37,0.21,9.37,9.18,8.95,0.23,9.18,1.51,0.75,1.51,0.56,5.97,11.14,6.07,517.36,0.93,0.87,-3.68,-4.73,4.02,2.42
41,9.53,8.86,0.67,9.53,9.17,8.87,0.31,9.17,1.03,1.31,1.31,0.69,7.85,13.68,7.01,583.39,0.89,1.02,-4.59,-4.30,2.80,4.04
42,8.96,9.14,0.18,9.14,9.16,9.02,0.14,9.16,0.84,0.54,0.84,0.81,5.94,10.46,5.41,451.81,0.92,0.77,-3.56,-4.46,3.93,1.85
43,8.76,8.95,0.19,8.95,8.88,8.67,0.21,8.88,1.21,1.27,1.27,0.66,5.92,10.91,5.88,499.45,0.93,0.85,-3.78,-5.04,3.73,1.91
44,9.36,9.12,0.24,9.36,9.07,9.03,0.04,9.07,0.92,0.72,0.92,0.82,5.99,10.36,5.27,437.09,0.74,0.94,-4.52,-3.75,1.79,4.11
45,9.02,9.31,0.30,9.31,8.81,8.86,0.05,8.86,1.19,0.53,1.19,0.74,4.14,7.18,3.67,304.54,0.87,0.79,-4.66,-5.10,2.60,1.59
46,9.14,9.34,0.20,9.34,9.11,8.94,0.17,9.11,2.31,0.53,2.31,0.65,6.82,12.05,6.25,522.49,0.91,0.70,-3.14,-4.20,4.19,1.61
47,8.91,8.81,0.10,8.91,8.91,8.79,0.13,8.91,0.93,1.91,1.91,0.72,5.58,11.00,6.26,542.16,0.84,0.98,-4.77,-3.85,2.39,4.12
48,8.71,8.82,0.10,8.82,8.94,8.56,0.37,8.94,1.86,0.96,1.86,0.62,5.40,10.63,6.04,522.45,0.95,0.83,-3.40,-5.04,4.20,1.76
49,9.66,8.83,0.83,9.66,9.07,8.92,0.15,9.07,0.56,1.72,1.72,0.72,6.23,11.12,5.82,489.01,0.73,0.90,-4.15,-3.29,1.78,3.90
50,8.65,8.90,0.24,8.90,9.02,8.78,0.25,9.02,2.42,3.03,3.03,0.61,7.76,14.24,7.65,648.73,1.00,0.97,-3.90,-4.70,3.99,3.03
51,8.61,8.89,0.27,8.89,8.86,9.09,0.23,9.09,1.24,1.81,1.81,0.73,7.62,12.45,5.97,482.74,0.95,0.90,-4.57,-5.13,3.19,2.35
52,8.96,9.10,0.15,9.10,9.21,9.06,0.15,9.21,1.13,0.61,1.13,0.76,7.70,12.22,5.68,452.23,0.94,0.84,-4.15,-4.95,3.73,2.12
53,8.81,9.12,0.31,9.12,8.74,8.87,0.13,8.87,1.06,0.64,1.06,0.71,4.13,8.49,4.98,436.50,0.92,0.84,-4.46,-4.30,2.85,2.42
54,9.22,8.81,0.41,9.22,9.09,8.50,0.59,9.09,0.96,0.59,0.96,0.68,5.57,8.58,3.85,301.47,0.85,0.79,-4.85,-4.61,2.13,1.84
55,9.12,9.31,0.19,9.31,8.89,9.15,0.26,9.15,0.32,0.82,0.82,0.86,4.76,8.81,4.77,405.71,0.89,0.86,-5.30,-3.89,2.11,3.28
56,9.64,8.71,0.94,9.64,9.41,8.96,0.45,9.41,0.55,1.23,1.23,0.55,4.96,9.56,5.34,459.68,0.88,0.94,-5.01,-4.54,2.48,3.22
57,9.13,8.86,0.27,9.13,9.09,8.69,0.40,9.09,0.39,0.82,0.82,0.80,6.77,11.42,5.67,465.14,0.94,0.92,-4.45,-4.32,3.26,3.19
58,8.98,9.03,0.05,9.03,9.00,8.73,0.26,9.00,0.51,1.14,1.14,0.77,6.65,11.94,6.28,528.70,0.95,0.83,-3.99,-4.15,3.75,2.57
59,8.66,9.01,0.35,9.01,8.85,8.97,0.12,8.97,0.84,1.15,1.15,0.95,7.94,13.71,6.96,577.18,0.99,0.88,-3.77,-4.73,4.26,2.58
60,8.66,9.25,0.60,9.25,8.78,8.88,0.10,8.88,1.32,0.84,1.32,0.88,7.29,11.43,5.24,414.73,0.94,0.83,-3.98,-4.92,3.48,1.89
61,9.05,8.79,0.26,9.05,8.51,8.95,0.44,8.95,0.86,1.65,1.65,0.80,7.63,12.69,6.21,506.78,0.85,0.93,-4.88,-3.69,2.14,3.90
62,8.92,9.12,0.20,9.12,8.99,9.07,0.08,9.07,0.78,1.06,1.06,0.84,7.89,13.23,6.52,533.88,0.92,0.99,-4.60,-4.25,2.80,3.70
63,8.94,9.50,0.56,9.50,8.59,9.06,0.48,9.06,0.98,0.76,0.98,0.76,6.41,11.17,5.72,475.94,0.88,0.86,-3.85,-4.57,3.22,2.45
64,8.89,8.83,0.05,8.89,9.03,9.00,0.04,9.03,1.20,1.48,1.48,0.87,5.84,10.68,5.71,483.65,0.86,0.90,-4.58,-3.98,2.49,3.50
65,8.72,9.40,0.68,9.40,8.73,9.14,0.41,9.14,2.16,1.14,2.16,0.62,8.60,14.46,7.15,585.77,0.95,0.83,-3.56,-4.90,4.15,1.93
66,9.09,8.96,0.13,9.09,8.99,8.84,0.16,8.99,1.10,0.83,1.10,0.61,6.84,12.26,6.45,542.16,0.87,0.94,-4.73,-3.68,2.42,3.94
