,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2
0,6.02,6.24,0.21,6.24,5.08,5.35,0.27,0.00,5.95,11.11,6.05,515.80,0.84,0.89,-3.92,-4.37
1,5.14,5.28,0.14,5.28,4.20,4.37,0.16,0.00,5.98,11.93,6.85,595.59,0.86,0.89,-3.42,-3.60
2,7.43,6.95,0.47,7.43,5.86,6.00,0.13,0.12,6.14,8.84,3.62,269.44,0.72,0.82,-4.09,-4.83
3,6.31,6.12,0.19,6.31,5.34,5.20,0.14,0.01,6.17,11.29,6.05,512.32,0.81,0.84,-3.93,-4.12
4,5.78,6.00,0.22,6.00,4.94,4.96,0.02,0.01,7.46,12.42,6.08,496.17,0.81,0.85,-3.67,-4.06
5,6.83,6.53,0.30,6.83,5.69,5.64,0.05,0.05,6.41,10.04,4.59,362.82,0.81,0.83,-4.40,-4.49
6,5.27,5.26,0.01,5.27,4.42,4.54,0.11,0.00,6.45,12.49,7.02,604.86,0.82,0.92,-3.02,-3.85
7,5.63,5.69,0.06,5.69,4.55,4.79,0.24,0.00,6.66,11.90,6.24,524.09,0.87,0.90,-3.88,-4.30
8,6.04,5.98,0.06,6.04,5.03,5.14,0.11,0.03,5.51,10.09,5.40,457.82,0.82,0.88,-3.71,-4.32
9,6.88,6.40,0.48,6.88,5.73,5.38,0.35,0.06,6.28,9.47,4.13,318.72,0.80,0.83,-4.41,-4.46
10,5.64,5.71,0.07,5.71,4.63,4.95,0.33,0.00,7.26,12.67,6.50,540.98,0.82,0.87,-3.52,-3.99
11,6.04,6.09,0.05,6.09,5.14,5.23,0.09,0.02,6.33,11.00,5.62,467.50,0.89,0.81,-4.52,-3.69
12,5.22,5.27,0.06,5.27,4.53,4.39,0.15,0.00,6.79,13.31,7.53,651.53,0.86,0.89,-3.27,-3.55
13,6.20,6.11,0.09,6.20,5.17,5.05,0.12,0.00,8.02,13.06,6.25,504.24,0.85,0.87,-4.07,-4.18
14,5.32,5.66,0.34,5.66,4.52,4.64,0.12,0.01,5.67,12.00,7.18,633.31,0.90,0.92,-3.67,-3.99
15,6.24,6.52,0.29,6.52,5.21,5.40,0.19,0.00,7.71,12.14,5.59,443.20,0.82,0.89,-3.82,-4.64
16,6.03,5.46,0.57,6.03,4.90,4.64,0.25,0.00,6.86,12.52,6.69,565.80,0.88,0.86,-3.89,-3.55
17,6.29,6.11,0.18,6.29,5.23,5.08,0.16,0.00,6.31,10.60,5.24,429.75,0.84,0.84,-4.24,-4.23
18,5.58,5.45,0.13,5.58,4.49,4.34,0.15,0.00,6.23,11.40,6.10,516.24,0.90,0.85,-3.81,-3.38
19,5.19,5.57,0.38,5.57,4.45,4.60,0.14,0.00,7.33,13.72,7.49,638.59,0.88,0.90,-3.67,-3.91
20,6.92,6.88,0.04,6.92,5.97,5.73,0.24,0.06,7.84,11.35,4.69,350.90,0.79,0.84,-4.41,-4.71
21,5.44,5.89,0.45,5.89,4.72,4.97,0.24,0.00,5.62,11.42,6.64,579.84,0.82,0.90,-3.42,-4.19
22,5.31,5.59,0.28,5.59,4.50,4.76,0.26,0.00,6.22,11.65,6.36,542.90,0.91,0.84,-4.06,-3.55
23,6.36,5.88,0.48,6.36,5.23,4.96,0.28,0.04,4.44,9.37,5.60,493.11,0.86,0.79,-4.20,-3.42
24,5.84,5.65,0.19,5.84,4.89,4.66,0.23,0.00,5.94,11.36,6.31,541.50,0.84,0.88,-3.81,-4.00
25,6.09,6.47,0.37,6.47,5.25,5.46,0.22,0.02,5.50,10.09,5.42,459.27,0.82,0.79,-3.92,-3.79
26,6.04,5.77,0.28,6.04,5.08,4.78,0.30,0.02,6.43,11.39,5.92,496.01,0.87,0.85,-4.05,-4.03
27,5.88,5.54,0.34,5.88,4.75,4.69,0.06,0.01,6.74,12.26,6.53,551.69,0.91,0.81,-4.20,-3.36
28,6.34,6.49,0.15,6.49,5.47,5.45,0.02,0.05,6.21,10.19,4.91,397.67,0.88,0.81,-4.66,-4.05
29,5.32,5.30,0.03,5.32,4.30,4.34,0.04,0.00,5.85,12.26,7.29,641.06,0.86,0.87,-3.39,-3.48
