,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2
0,51.15,57.01,5.86,57.01,45.05,46.04,1.00,46.04,119.04,226.31,226.31,0.73,49.55,82.48,40.36,3293.19,0.88,0.91,-23.99,-24.58,17.43,18.92
1,55.88,53.82,2.06,55.88,47.57,48.37,0.80,48.37,66.90,77.12,77.12,0.65,37.04,67.39,35.91,3035.09,0.63,0.87,-11.73,-27.68,19.77,17.90
2,54.66,49.61,5.05,54.66,48.56,45.34,3.22,48.56,327.67,351.74,351.74,0.46,64.52,97.95,43.11,3342.93,0.80,0.87,-29.54,-23.26,11.68,18.70
3,48.98,50.87,1.88,50.87,48.11,51.23,3.12,51.23,409.51,255.32,409.51,0.53,63.82,97.40,43.15,3358.08,0.87,0.88,-24.62,-36.00,19.13,11.64
4,50.52,49.40,1.12,50.52,43.67,45.22,1.55,45.22,119.79,94.58,119.79,0.74,47.17,82.27,42.17,3509.65,0.81,0.88,-17.14,-24.87,20.70,17.63
5,52.98,54.55,1.57,54.55,45.09,45.05,0.05,45.09,131.62,119.82,131.62,0.80,50.52,79.54,36.59,2901.59,0.89,0.79,-24.06,-20.31,18.73,17.66
6,51.85,51.59,0.26,51.85,46.33,44.99,1.34,46.33,16.81,25.68,25.68,0.94,51.05,76.12,32.72,2506.68,0.88,0.76,-24.44,-18.93,19.23,18.07
7,55.42,50.29,5.13,55.42,45.11,44.18,0.93,45.11,150.21,89.43,150.21,0.87,50.28,81.09,38.35,3081.01,0.90,0.88,-27.19,-21.49,15.77,19.27
8,52.96,48.41,4.56,52.96,45.00,44.86,0.14,45.00,132.95,104.41,132.95,0.50,55.60,88.35,41.09,3275.28,0.76,0.87,-19.20,-22.51,16.66,19.04
9,49.85,50.80,0.95,50.80,45.93,46.38,0.45,46.38,331.63,227.75,331.63,0.71,57.65,89.85,40.85,3220.12,0.88,0.83,-23.48,-29.33,19.37,12.08
10,58.52,54.20,4.32,58.52,45.32,45.81,0.49,45.81,210.09,109.19,210.09,0.56,52.45,86.00,41.41,3354.47,0.89,0.88,-22.86,-25.99,19.54,15.98
11,53.77,58.11,4.34,58.11,46.38,47.77,1.39,47.77,70.85,111.80,111.80,0.96,53.60,86.05,40.49,3245.51,0.87,0.71,-24.69,-13.41,18.35,19.17
12,54.09,49.40,4.69,54.09,46.33,45.38,0.95,46.33,145.75,232.92,232.92,0.78,51.36,82.90,39.24,3153.64,0.82,0.89,-27.28,-22.90,12.86,19.29
13,56.40,52.95,3.45,56.40,44.77,46.56,1.78,46.56,292.46,72.04,292.46,0.98,60.44,90.00,38.62,2955.82,0.79,0.90,-18.25,-24.74,20.02,19.48
14,52.36,51.32,1.04,52.36,45.89,46.08,0.19,46.08,133.14,99.17,133.14,0.86,44.54,73.79,35.93,2924.83,0.79,0.89,-22.34,-22.44,16.11,20.69
15,55.01,50.09,4.93,55.01,47.18,46.07,1.11,47.18,141.75,223.16,223.16,0.76,56.61,86.65,38.53,3004.07,0.91,0.92,-33.01,-24.94,12.87,19.39
16,51.88,53.27,1.40,53.27,43.55,44.56,1.00,44.56,261.32,339.09,339.09,0.38,47.96,89.70,48.93,4173.62,0.90,0.87,-23.24,-21.02,17.63,18.67
17,56.94,55.58,1.36,56.94,45.90,45.84,0.06,45.90,176.74,152.74,176.74,0.82,53.82,88.06,42.32,3424.61,0.80,0.90,-19.84,-24.18,18.75,19.19
18,49.88,49.37,0.52,49.88,44.45,43.94,0.51,44.45,84.83,151.44,151.44,0.62,46.15,79.46,40.23,3331.24,0.84,0.91,-24.30,-20.78,15.63,20.78
19,51.46,49.14,2.32,51.46,45.30,45.22,0.08,45.30,195.23,177.20,195.23,0.39,49.42,84.65,42.64,3522.99,0.78,0.87,-20.48,-22.07,17.18,19.77
20,55.89,51.95,3.94,55.89,46.90,44.92,1.98,46.90,295.95,165.97,295.95,0.61,49.15,82.46,40.68,3330.89,0.90,0.68,-25.01,-19.61,19.54,13.34
21,49.37,58.32,8.95,58.32,46.73,48.50,1.77,48.50,153.62,255.47,255.47,0.56,56.40,90.00,42.06,3359.71,0.90,0.87,-23.41,-31.11,20.36,12.95
22,46.90,50.34,3.44,50.34,44.77,47.54,2.77,47.54,276.52,239.88,276.52,0.56,56.31,87.13,39.26,3081.42,0.84,0.86,-22.24,-31.51,17.48,12.44
23,51.18,53.87,2.69,53.87,48.38,46.20,2.18,48.38,122.86,287.63,287.63,0.77,51.43,79.40,35.68,2796.63,0.90,0.87,-32.74,-22.84,13.87,19.46
24,53.25,50.63,2.62,53.25,46.04,48.84,2.79,48.84,437.45,227.55,437.45,0.75,53.39,86.46,41.08,3307.40,0.92,0.91,-23.72,-33.76,20.50,12.22
25,52.10,58.84,6.74,58.84,44.09,46.77,2.68,46.77,218.60,327.50,327.50,0.73,52.96,88.57,43.55,3560.98,0.85,0.90,-19.35,-25.99,20.47,18.11
26,54.78,50.48,4.30,54.78,48.45,46.97,1.48,48.45,156.99,203.24,203.24,0.76,54.75,86.48,39.94,3172.88,0.82,0.91,-29.35,-24.12,13.23,20.68
27,50.91,45.44,5.47,50.91,49.24,48.05,1.19,49.24,589.43,665.14,665.14,0.79,86.79,123.53,49.76,3674.63,0.81,0.87,-32.21,-25.21,11.41,19.35
28,53.69,52.99,0.71,53.69,44.31,45.98,1.66,45.98,336.24,189.28,336.24,0.50,45.59,80.54,41.79,3494.88,0.90,0.84,-22.09,-24.62,19.73,15.63
