,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,5.51,5.69,0.19,5.69,5.59,5.63,0.04,5.63,4.68,4.82,0.14,0.00,6.58,12.14,5.89,0.81,0.83,-3.42,-3.64
1,5.32,4.96,0.36,5.32,5.36,5.02,0.34,5.36,4.50,4.06,0.43,0.00,8.86,15.95,7.53,0.88,0.81,-3.51,-2.80
2,6.26,6.37,0.11,6.37,6.20,5.94,0.26,6.20,5.11,5.12,0.01,0.00,7.39,12.50,5.48,0.85,0.84,-4.13,-3.99
3,6.64,6.15,0.49,6.64,6.30,6.12,0.18,6.30,5.31,5.23,0.08,0.03,6.32,10.72,4.72,0.81,0.82,-4.06,-4.08
4,6.29,5.78,0.51,6.29,6.07,5.70,0.36,6.07,5.08,4.80,0.28,0.00,8.08,12.37,4.69,0.85,0.86,-4.02,-4.06
5,7.17,6.97,0.20,7.17,6.75,6.63,0.12,6.75,5.65,5.64,0.00,0.06,7.43,10.73,3.68,0.75,0.73,-3.89,-3.68
6,6.45,6.45,0.00,6.45,6.24,6.50,0.26,6.50,5.21,5.43,0.22,0.01,8.42,12.90,4.90,0.81,0.83,-3.90,-4.14
7,5.82,5.85,0.03,5.85,5.71,5.51,0.19,5.71,4.91,4.53,0.38,0.00,9.27,14.83,6.02,0.89,0.85,-3.94,-3.53
8,5.25,5.14,0.11,5.25,5.35,5.14,0.21,5.35,4.43,4.33,0.11,0.00,8.83,15.65,7.27,0.91,0.90,-3.59,-3.54
9,5.66,5.51,0.16,5.66,5.45,5.68,0.23,5.68,4.44,4.58,0.14,0.00,9.29,15.51,6.68,0.84,0.88,-3.28,-3.80
10,5.14,5.66,0.52,5.66,5.48,5.48,0.00,5.48,4.35,4.44,0.09,0.00,9.39,15.76,6.83,0.84,0.87,-3.23,-3.35
11,6.23,6.23,0.00,6.23,5.96,5.96,0.00,5.96,5.02,5.12,0.10,0.03,6.50,10.97,4.80,0.85,0.81,-4.22,-3.76
12,6.78,6.34,0.44,6.78,6.21,6.20,0.01,6.21,5.36,5.39,0.02,0.01,7.08,12.08,5.35,0.80,0.81,-3.73,-3.78
13,6.42,6.78,0.36,6.78,6.26,6.30,0.04,6.30,5.29,5.43,0.14,0.00,7.35,12.16,5.18,0.81,0.83,-3.86,-4.07
14,5.17,5.85,0.69,5.85,5.21,5.68,0.47,5.68,4.32,4.64,0.31,0.00,8.72,15.11,6.83,0.89,0.91,-3.58,-3.89
15,6.75,6.47,0.27,6.75,6.07,5.91,0.17,6.07,5.33,5.16,0.17,0.01,6.82,11.53,5.05,0.77,0.86,-3.54,-4.26
16,6.10,6.36,0.26,6.36,6.10,6.18,0.09,6.18,5.05,5.11,0.06,0.01,9.07,13.89,5.27,0.82,0.84,-3.78,-3.92
17,6.52,6.39,0.13,6.52,6.38,6.16,0.22,6.38,5.39,5.28,0.10,0.01,6.64,10.89,4.58,0.83,0.85,-4.19,-4.19
18,5.89,6.34,0.45,6.34,5.67,5.97,0.30,5.97,4.62,4.88,0.26,0.00,10.00,15.76,6.27,0.84,0.82,-3.40,-3.40
19,6.75,6.48,0.27,6.75,6.21,6.53,0.33,6.53,5.16,5.19,0.04,0.02,6.95,11.08,4.48,0.84,0.81,-4.16,-4.01
20,5.13,5.37,0.24,5.37,5.28,5.34,0.06,5.34,4.34,4.39,0.05,0.00,8.23,15.14,7.32,0.85,0.83,-3.24,-3.01
21,6.53,6.96,0.43,6.96,6.30,6.61,0.31,6.61,5.31,5.37,0.07,0.01,6.44,10.59,4.47,0.73,0.75,-3.44,-3.67
22,6.69,7.01,0.32,7.01,6.72,6.81,0.09,6.81,5.76,5.78,0.02,0.03,6.04,9.51,3.77,0.79,0.73,-4.38,-3.81
23,6.10,6.11,0.00,6.11,5.98,5.92,0.06,5.98,5.07,4.87,0.21,0.00,7.52,12.82,5.67,0.81,0.84,-3.71,-3.79
24,5.84,5.74,0.10,5.84,5.52,5.74,0.22,5.74,4.60,4.45,0.14,0.00,8.25,13.66,5.83,0.89,0.89,-3.99,-3.96
25,6.06,5.73,0.33,6.06,5.98,5.88,0.10,5.98,5.02,4.94,0.08,0.00,7.06,11.71,5.01,0.83,0.82,-4.04,-3.89
26,5.88,6.23,0.35,6.23,5.85,5.93,0.08,5.93,5.02,4.86,0.16,0.00,10.99,16.00,5.56,0.90,0.79,-4.35,-3.51
27,5.86,5.58,0.28,5.86,5.53,5.72,0.19,5.72,4.62,4.75,0.13,0.00,7.16,12.93,6.12,0.78,0.87,-3.04,-3.76
28,5.24,5.25,0.01,5.25,5.25,5.02,0.23,5.25,4.20,4.19,0.02,0.00,7.31,13.47,6.53,0.84,0.84,-3.08,-3.08
29,5.15,5.46,0.32,5.46,4.99,5.17,0.19,5.17,4.06,4.15,0.09,0.00,9.03,15.00,6.42,0.85,0.76,-3.18,-2.44
30,5.57,5.41,0.16,5.57,5.28,5.28,0.00,5.28,4.28,4.41,0.13,0.00,7.94,14.11,6.57,0.83,0.82,-3.12,-3.03
31,6.07,5.91,0.16,6.07,5.79,5.72,0.07,5.79,4.82,4.76,0.05,0.03,8.73,14.43,6.14,0.87,0.80,-3.90,-3.22
32,5.36,5.53,0.17,5.53,5.28,5.47,0.18,5.47,4.27,4.49,0.22,0.01,9.73,15.40,6.16,0.81,0.85,-3.12,-3.45
33,5.93,5.98,0.05,5.98,5.68,5.86,0.18,5.86,4.69,4.92,0.24,0.01,9.02,15.45,6.88,0.86,0.86,-3.65,-3.65
