,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,SemiVar0,SemiVar1,Max SemiVar,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2,p1,p2
0,49.32,52.19,2.87,52.19,45.25,48.32,3.08,48.32,565.40,459.57,565.40,0.79,69.34,102.54,43.60,3319.80,0.90,0.87,-22.11,-32.81,20.95,12.33
1,51.38,54.67,3.29,54.67,47.77,50.47,2.69,50.47,135.53,69.80,135.53,0.80,48.42,76.62,35.46,2819.99,0.90,0.85,-23.67,-32.98,21.58,12.32
2,60.88,62.86,1.98,62.86,46.55,46.42,0.13,46.55,159.51,530.63,530.63,0.55,55.25,90.00,43.03,3474.56,0.70,0.86,-17.69,-23.34,17.28,19.60
3,48.28,52.57,4.29,52.57,47.63,48.00,0.37,48.00,349.17,298.22,349.17,0.65,64.41,101.72,46.97,3730.96,0.91,0.88,-24.98,-27.97,20.37,16.98
4,53.31,54.86,1.56,54.86,45.49,44.43,1.06,45.49,207.06,139.02,207.06,0.29,53.49,90.64,45.18,3715.43,0.89,0.81,-21.45,-20.51,20.92,17.80
5,52.49,50.47,2.03,52.49,49.08,46.86,2.21,49.08,298.16,369.13,369.13,0.43,64.95,105.16,49.95,4020.98,0.89,0.90,-28.42,-23.70,16.89,19.91
6,54.23,56.98,2.74,56.98,45.51,45.48,0.03,45.51,168.22,191.99,191.99,0.79,60.58,90.00,38.51,2942.27,0.87,0.71,-23.02,-19.86,19.59,15.81
7,52.13,53.56,1.44,53.56,46.29,46.33,0.04,46.33,140.82,223.44,223.44,0.68,57.14,90.00,41.43,3285.50,0.86,0.88,-26.25,-24.18,16.04,18.44
8,52.88,52.87,0.01,52.88,45.88,47.24,1.36,47.24,314.37,318.68,318.68,0.48,55.05,96.15,49.35,4109.32,0.89,0.88,-20.98,-26.85,21.79,16.43
9,55.62,58.38,2.77,58.38,45.92,45.80,0.12,45.92,264.44,379.34,379.34,0.48,57.87,90.00,40.81,3213.20,0.89,0.81,-21.66,-23.85,20.61,15.44
10,49.21,49.88,0.67,49.88,47.90,46.56,1.34,47.90,282.73,458.68,458.68,0.66,70.85,109.52,49.30,3866.93,0.79,0.87,-22.51,-24.02,17.62,19.15
11,49.49,53.44,3.95,53.44,45.79,44.46,1.33,45.79,270.60,386.28,386.28,0.69,63.93,100.89,46.55,3696.13,0.89,0.87,-26.14,-22.28,16.91,18.88
12,50.00,53.26,3.26,53.26,47.69,48.39,0.71,48.39,125.08,129.96,129.96,0.84,58.78,87.25,37.29,2847.44,0.90,0.88,-24.34,-30.83,20.67,14.53
13,57.24,58.19,0.95,58.19,45.40,47.30,1.90,47.30,395.90,290.54,395.90,0.43,59.68,95.49,44.77,3581.53,0.87,0.89,-21.27,-30.03,20.20,14.67
14,59.47,60.91,1.44,60.91,46.35,45.78,0.58,46.35,333.34,642.86,642.86,0.67,59.30,90.00,39.59,3069.69,0.90,0.88,-26.52,-25.96,17.72,17.22
15,59.00,57.29,1.70,59.00,45.97,46.33,0.36,46.33,176.22,219.50,219.50,0.65,55.31,90.00,42.98,3468.75,0.81,0.87,-20.81,-22.56,19.02,20.03
16,57.92,58.47,0.54,58.47,49.49,50.66,1.18,50.66,372.31,390.87,390.87,0.72,67.08,103.34,46.32,3625.86,0.85,0.86,-26.79,-29.08,18.56,17.56
17,56.91,56.40,0.51,56.91,46.38,47.50,1.12,47.50,82.42,127.71,127.71,0.82,58.75,86.33,36.39,2758.09,0.73,0.90,-22.28,-24.52,15.23,20.86
18,51.83,54.02,2.19,54.02,46.69,47.16,0.47,47.16,257.94,282.82,282.82,0.83,56.14,90.31,42.60,3417.51,0.90,0.88,-25.61,-25.22,19.41,18.49
19,56.26,54.37,1.89,56.26,47.75,47.00,0.74,47.75,340.90,356.78,356.78,0.69,56.62,90.00,41.87,3337.85,0.85,0.83,-26.84,-23.64,17.51,18.17
20,48.88,44.17,4.71,48.88,49.42,46.40,3.02,49.42,332.48,376.89,376.89,0.83,75.43,110.46,46.34,3502.34,0.87,0.85,-32.08,-21.20,14.06,20.64
21,51.87,49.00,2.87,51.87,48.25,48.18,0.07,48.25,67.90,71.24,71.24,0.77,46.75,72.59,32.85,2583.49,0.79,0.91,-25.40,-25.68,15.47,20.48
22,53.07,51.09,1.98,53.07,47.40,47.00,0.39,47.40,167.66,213.11,213.11,0.40,55.32,90.00,42.98,3468.26,0.76,0.86,-20.49,-24.23,17.03,18.14
23,56.60,54.96,1.63,56.60,47.85,46.20,1.66,47.85,289.46,240.54,289.46,0.38,55.88,91.57,44.07,3568.43,0.85,0.85,-25.57,-23.10,17.35,19.06
24,52.57,53.54,0.97,53.54,45.67,45.80,0.14,45.80,79.61,92.35,92.35,0.79,62.17,90.00,37.15,2782.89,0.93,0.89,-23.04,-26.56,21.87,17.18
25,51.88,55.04,3.16,55.04,47.41,46.46,0.95,47.41,190.26,275.27,275.27,0.73,57.78,90.00,40.89,3222.22,0.88,0.72,-25.36,-17.77,19.36,18.87
26,52.39,57.89,5.49,57.89,46.37,47.87,1.50,47.87,104.49,131.32,131.32,0.65,58.78,89.72,39.75,3093.49,0.89,0.76,-22.88,-24.26,20.42,14.47
