,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,40.32,43.47,3.15,43.47,31.32,32.95,1.63,32.95,25.41,28.19,2.78,0.08,56.33,90.00,36.49,0.81,0.85,-19.11,-23.17
1,42.38,34.65,7.73,42.38,29.89,28.35,1.54,29.89,26.74,24.29,2.45,0.05,58.60,90.00,34.33,0.90,0.89,-23.45,-22.30
2,38.07,40.42,2.35,40.42,30.12,30.43,0.32,30.43,25.67,25.81,0.14,0.04,57.29,90.00,35.57,0.84,0.83,-20.56,-20.23
3,33.67,35.31,1.65,35.31,28.76,31.64,2.88,31.64,24.75,25.71,0.97,0.02,58.46,90.00,34.46,0.83,0.85,-20.43,-22.17
4,35.42,38.58,3.16,38.58,27.98,29.50,1.52,29.50,23.68,25.91,2.23,0.05,59.78,90.00,33.21,0.85,0.88,-20.61,-23.70
5,37.88,40.26,2.38,40.26,29.36,32.50,3.14,32.50,24.86,27.65,2.79,0.06,60.84,90.00,32.20,0.82,0.88,-19.63,-26.15
6,38.96,40.18,1.22,40.18,28.09,29.70,1.62,29.70,25.50,26.59,1.09,0.05,61.96,90.00,31.14,0.82,0.84,-20.02,-21.26
7,35.08,39.89,4.81,39.89,29.13,32.11,2.99,32.11,25.20,27.87,2.67,0.05,57.53,90.00,35.35,0.86,0.88,-21.96,-24.08
8,35.71,36.62,0.91,36.62,29.09,28.11,0.98,29.09,24.25,24.62,0.37,0.03,58.48,90.00,34.45,0.84,0.85,-19.44,-20.85
9,33.71,32.94,0.78,33.71,29.28,28.15,1.13,29.28,24.41,23.16,1.25,0.01,62.21,90.00,30.90,0.86,0.82,-22.71,-19.36
10,35.49,35.64,0.14,35.64,29.52,28.39,1.13,29.52,25.28,25.35,0.07,0.04,58.06,90.00,34.84,0.82,0.84,-19.72,-20.85
11,43.31,41.50,1.81,43.31,31.17,32.19,1.01,32.19,26.00,27.11,1.11,0.08,57.49,90.00,35.39,0.84,0.85,-19.97,-23.35
12,38.87,37.83,1.04,38.87,30.80,30.80,0.00,30.80,25.32,26.26,0.94,0.06,58.21,90.00,34.70,0.84,0.85,-19.86,-22.30
13,36.72,37.87,1.15,37.87,28.01,30.57,2.56,30.57,24.26,25.66,1.40,0.06,58.79,90.00,34.15,0.86,0.86,-20.74,-21.45
14,38.03,37.51,0.52,38.03,30.15,31.28,1.13,31.28,26.15,26.77,0.63,0.04,59.48,90.00,33.49,0.82,0.83,-20.42,-21.63
15,37.84,35.32,2.52,37.84,26.87,29.22,2.35,29.22,24.04,25.35,1.31,0.04,57.70,90.00,35.18,0.84,0.86,-19.16,-21.77
16,39.63,40.68,1.05,40.68,26.81,32.92,6.11,32.92,24.32,28.75,4.43,0.05,54.94,90.00,37.81,0.76,0.87,-14.36,-25.34
17,31.44,34.33,2.88,34.33,27.67,28.34,0.68,28.34,22.98,24.12,1.14,0.06,67.35,90.00,26.02,0.85,0.88,-21.07,-23.74
18,40.86,41.90,1.04,41.90,31.68,33.42,1.73,33.42,26.91,27.00,0.09,0.08,57.40,90.00,35.47,0.85,0.81,-22.70,-20.57
19,41.51,40.72,0.79,41.51,28.78,30.12,1.34,30.12,25.75,25.38,0.38,0.05,52.97,90.00,39.68,0.87,0.87,-20.71,-20.61
20,45.56,42.29,3.27,45.56,32.72,31.76,0.96,32.72,28.82,28.16,0.66,0.12,62.20,90.00,30.91,0.86,0.88,-24.94,-25.43
21,38.13,39.06,0.93,39.06,31.74,33.93,2.19,33.93,26.64,27.36,0.72,0.06,68.36,90.00,25.06,0.87,0.85,-26.23,-25.60
22,35.27,38.26,2.98,38.26,30.03,30.39,0.36,30.39,25.31,25.76,0.46,0.05,64.06,90.00,29.14,0.86,0.87,-23.22,-23.77
23,37.96,37.80,0.16,37.96,30.25,31.46,1.21,31.46,26.18,27.31,1.13,0.02,61.70,90.00,31.39,0.83,0.86,-21.77,-24.92
24,38.08,39.01,0.93,39.01,29.35,31.07,1.72,31.07,23.93,24.33,0.40,0.06,59.89,90.00,33.10,0.80,0.75,-18.64,-16.41
25,40.93,39.72,1.21,40.93,31.21,31.61,0.40,31.61,26.64,25.70,0.94,0.05,54.06,90.00,38.65,0.85,0.86,-21.78,-21.92
26,41.75,41.65,0.10,41.75,34.78,32.65,2.13,34.78,29.83,27.84,1.99,0.04,52.87,90.00,39.77,0.83,0.84,-23.24,-21.62
27,37.92,36.49,1.44,37.92,30.21,29.05,1.16,30.21,25.85,25.08,0.77,0.05,62.73,90.00,30.41,0.79,0.82,-20.30,-21.06
28,37.55,35.61,1.95,37.55,29.87,27.42,2.45,29.87,25.15,24.25,0.90,0.07,62.36,90.00,30.76,0.86,0.86,-21.59,-21.42
29,37.59,35.05,2.54,37.59,29.55,29.90,0.36,29.90,26.02,24.97,1.05,0.04,58.77,90.00,34.17,0.86,0.83,-22.87,-19.65
30,39.06,38.03,1.03,39.06,31.41,30.01,1.40,31.41,27.24,25.59,1.65,0.03,62.05,90.00,31.05,0.85,0.85,-23.30,-22.29
