,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,4.48,4.77,0.29,0.00,3.09,9.18,6.24,4.50,4.80
1,4.26,5.55,1.28,0.00,2.89,8.19,5.45,4.32,5.86
2,4.21,4.63,0.42,0.01,2.98,9.12,6.28,4.31,4.53
3,4.01,4.66,0.65,0.00,2.98,9.17,6.34,4.24,4.69
4,4.20,4.20,0.00,0.00,2.65,9.31,6.79,4.40,4.13
5,4.67,4.89,0.22,0.00,3.55,9.14,5.77,4.79,4.72
6,5.82,5.12,0.70,0.07,3.14,7.20,4.22,6.28,5.03
7,4.57,5.16,0.59,0.00,2.63,7.84,5.34,4.82,5.22
8,4.27,5.90,1.63,0.03,2.77,7.58,4.95,4.46,6.14
9,4.46,6.09,1.63,0.03,3.37,8.00,4.80,4.52,6.22
10,4.46,5.38,0.92,0.02,2.82,8.13,5.45,4.44,5.45
11,4.56,4.24,0.32,0.01,2.76,8.81,6.20,4.62,4.47
12,5.56,4.63,0.93,0.04,3.14,7.86,4.87,6.03,4.82
13,4.53,5.93,1.41,0.04,3.52,7.85,4.50,4.77,6.12
14,4.56,4.73,0.17,0.00,2.94,8.94,6.15,4.54,4.67
15,4.59,5.92,1.33,0.01,2.48,7.18,4.83,4.46,6.10
16,4.37,4.43,0.07,0.01,5.02,10.86,6.09,4.66,4.67
17,4.52,4.54,0.02,0.00,2.67,8.51,5.97,4.53,4.63
18,5.56,4.35,1.22,0.00,3.96,8.96,5.20,5.78,4.37
19,4.17,4.53,0.35,0.00,3.04,9.51,6.62,4.33,4.54
20,6.14,5.17,0.97,0.01,3.96,8.00,4.24,6.40,5.34
21,4.55,5.94,1.40,0.01,3.26,7.45,4.36,4.60,6.63
22,6.05,4.19,1.86,0.07,3.56,8.00,4.62,6.76,4.40
23,6.06,4.29,1.77,0.00,3.33,8.00,4.84,6.18,4.60
24,3.73,4.02,0.29,0.00,2.84,9.96,7.26,3.85,4.07
25,5.58,4.32,1.26,0.08,3.32,8.19,5.04,6.26,4.32
26,4.59,4.60,0.01,0.00,3.36,9.32,6.13,4.62,4.63
27,4.70,4.59,0.11,0.01,2.95,8.64,5.84,4.71,4.91
28,6.08,4.22,1.86,0.03,2.98,7.81,4.99,6.46,4.31
29,5.06,5.48,0.41,0.00,3.13,7.83,4.85,5.15,5.53
30,5.19,4.91,0.28,0.00,3.19,8.00,4.97,5.36,4.91
31,5.73,5.47,0.26,0.03,2.84,6.65,3.95,6.01,5.70
32,4.25,4.92,0.67,0.00,3.90,10.16,6.46,4.16,4.67
33,5.93,5.85,0.08,0.02,4.69,8.00,3.54,6.25,6.22
34,4.99,5.07,0.07,0.00,3.23,8.12,5.05,5.05,5.01
35,4.58,4.13,0.44,0.00,3.98,9.79,6.01,4.81,4.29
36,5.92,4.18,1.75,0.09,3.24,7.88,4.80,6.56,4.37
37,4.88,4.59,0.28,0.00,2.77,8.34,5.71,4.96,4.48
38,5.46,4.45,1.02,0.02,2.77,7.72,5.09,6.10,4.61
39,4.46,4.51,0.06,0.00,4.09,10.44,6.55,4.50,4.48
40,5.95,5.39,0.56,0.06,3.22,7.22,4.17,6.20,5.53
41,6.10,5.66,0.44,0.11,3.11,6.18,3.23,6.36,5.90
42,6.04,4.68,1.36,0.03,3.52,8.00,4.66,6.40,4.70
43,4.44,5.26,0.81,0.01,3.12,8.37,5.41,4.38,5.84
44,5.55,4.80,0.75,0.01,3.17,7.58,4.57,6.01,5.12
45,5.24,4.32,0.92,0.00,2.93,8.16,5.38,5.61,4.40
46,4.38,4.39,0.02,0.00,3.31,9.29,6.15,4.54,4.49
47,5.33,4.64,0.68,0.01,2.90,8.00,5.24,5.73,4.78
48,4.35,4.06,0.29,0.00,3.51,9.89,6.56,4.61,4.22
49,6.16,5.48,0.68,0.03,3.72,7.24,3.71,6.67,5.51
50,4.96,4.64,0.32,0.00,2.71,8.20,5.62,5.06,4.70
51,5.44,5.62,0.18,0.00,3.56,7.44,4.06,5.68,5.89
52,5.71,5.51,0.20,0.02,3.85,7.30,3.64,6.08,5.94
53,5.35,4.39,0.96,0.00,2.59,7.57,5.11,5.39,4.55
54,5.37,4.79,0.58,0.01,3.30,8.11,4.98,5.42,4.84
55,4.30,4.48,0.18,0.00,2.91,9.05,6.28,4.21,4.59
56,4.77,5.66,0.88,0.03,3.48,8.00,4.69,4.74,6.22
57,5.71,5.84,0.13,0.11,3.63,6.90,3.45,6.33,6.22
58,4.72,5.64,0.92,0.02,3.89,8.32,4.62,4.75,6.00
59,4.36,5.21,0.84,0.00,4.04,9.58,5.74,4.26,5.47
60,6.24,5.78,0.46,0.08,3.45,6.14,2.87,6.15,6.51
61,4.31,5.59,1.28,0.01,2.99,8.07,5.22,4.53,5.95
62,6.29,4.62,1.67,0.04,3.82,8.00,4.37,6.56,4.67
63,4.87,3.99,0.88,0.00,3.02,9.05,6.18,4.98,4.21
64,4.57,4.98,0.40,0.00,2.42,7.87,5.58,4.93,4.82
65,5.10,5.57,0.47,0.01,3.17,7.76,4.75,5.16,5.72
66,5.91,4.17,1.74,0.06,4.05,8.75,4.90,6.18,4.30
67,4.47,4.46,0.01,0.00,3.18,9.11,6.09,4.34,4.48
68,5.09,5.35,0.26,0.02,3.70,8.00,4.48,5.44,5.70
69,6.06,4.38,1.68,0.13,3.72,8.00,4.46,6.47,4.48
70,5.87,5.71,0.16,0.01,3.99,7.50,3.71,6.07,6.14
71,4.45,5.36,0.91,0.00,3.94,8.92,5.17,4.41,5.82
72,6.21,5.61,0.60,0.01,4.85,8.00,3.40,6.62,6.17
73,4.79,3.97,0.81,0.00,3.27,9.28,6.17,4.79,4.30
74,4.53,4.35,0.17,0.00,3.57,9.71,6.32,4.62,4.52
75,5.38,4.21,1.18,0.01,3.19,8.71,5.68,5.50,4.15
76,4.13,4.44,0.31,0.00,2.84,9.50,6.81,4.23,4.58
77,4.45,4.48,0.03,0.00,3.53,9.75,6.40,4.34,4.64
78,5.61,5.29,0.32,0.05,4.35,8.00,3.87,6.65,5.45
79,4.39,4.58,0.19,0.00,3.46,9.66,6.38,4.49,4.57
80,4.95,4.64,0.31,0.01,3.58,8.89,5.49,5.10,4.62
81,5.68,6.07,0.40,0.07,3.31,6.86,3.72,5.77,6.32
82,4.32,4.44,0.11,0.00,3.60,9.78,6.36,4.36,4.60
83,4.18,4.41,0.22,0.00,2.94,9.28,6.49,4.38,4.40
84,5.80,4.78,1.02,0.00,3.50,7.66,4.33,6.30,5.01
85,5.93,5.30,0.63,0.07,4.38,8.00,3.83,6.53,5.64
86,4.37,4.55,0.18,0.00,3.28,9.29,6.18,4.43,4.59
87,4.16,4.73,0.57,0.00,2.60,8.79,6.31,4.16,5.12
88,6.13,4.39,1.74,0.11,3.12,7.94,4.98,6.40,4.48
89,5.78,4.89,0.88,0.04,3.74,8.22,4.66,5.92,4.88
90,4.16,5.59,1.43,0.02,2.97,8.00,5.17,4.56,5.92
91,4.35,4.88,0.53,0.00,2.78,8.73,6.09,4.38,4.87
92,5.59,5.22,0.37,0.00,3.61,8.00,4.57,5.88,5.60
93,5.78,4.46,1.31,0.03,3.29,8.00,4.88,6.26,4.26
94,5.97,4.60,1.36,0.06,3.60,8.00,4.58,6.41,4.66
95,4.66,5.57,0.91,0.03,3.11,7.73,4.78,4.64,5.84
96,4.82,5.91,1.09,0.01,3.48,8.00,4.70,4.70,6.29
97,5.35,4.27,1.08,0.00,3.07,8.26,5.34,5.70,4.44
98,4.46,4.67,0.20,0.00,2.29,8.38,6.20,4.45,4.71
99,4.22,5.94,1.72,0.01,3.25,8.23,5.14,4.21,6.22
100,4.66,5.63,0.97,0.00,3.35,8.00,4.82,4.57,6.00
101,5.75,6.06,0.31,0.08,4.35,7.67,3.53,5.97,6.27
102,4.41,6.22,1.82,0.05,2.78,7.20,4.56,4.38,6.40
103,6.02,5.75,0.26,0.04,3.25,6.30,3.22,6.40,6.22
104,6.11,5.99,0.12,0.04,4.14,7.02,3.09,6.27,6.46
105,4.94,5.18,0.24,0.00,2.81,7.70,5.03,5.03,5.35
106,4.78,5.80,1.02,0.04,3.40,7.56,4.32,4.95,6.18
107,4.31,5.24,0.93,0.01,2.58,8.00,5.55,4.40,5.66
108,4.44,5.83,1.38,0.02,3.31,8.00,4.86,4.68,6.37
109,5.88,4.37,1.50,0.04,3.44,8.05,4.78,6.26,4.54
110,5.74,6.31,0.56,0.12,3.24,6.34,3.26,6.23,6.38
111,5.05,6.15,1.10,0.01,3.70,7.80,4.29,5.05,6.54
112,4.44,4.38,0.06,0.00,2.76,8.58,5.96,4.48,4.57
113,4.18,4.19,0.01,0.00,3.72,10.30,6.77,4.24,4.32
114,4.35,4.44,0.10,0.00,2.17,8.19,6.13,4.59,4.39
115,4.41,5.54,1.13,0.02,3.57,8.63,5.24,4.41,6.00
