,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
0,22.53,23.94,1.41,0.07,55.99,90.00,36.81,24.26,26.72
1,26.61,25.85,0.77,0.08,55.92,90.00,36.88,28.75,27.91
2,23.34,23.58,0.24,0.00,57.87,90.00,35.03,27.27,26.65
3,24.93,24.22,0.71,0.05,59.02,90.00,33.93,28.12,27.34
4,23.88,23.67,0.21,0.04,59.77,90.00,33.21,28.13,27.13
5,24.94,24.29,0.65,0.06,56.98,90.00,35.87,28.57,27.22
6,26.43,21.27,5.16,0.09,57.71,90.00,35.18,28.86,21.35
7,24.84,25.29,0.44,0.03,61.37,89.67,31.37,27.83,28.50
8,24.18,23.40,0.78,0.02,55.21,82.19,29.74,27.81,27.62
9,24.36,23.43,0.94,0.03,58.47,90.00,34.46,27.54,26.28
10,20.07,21.46,1.39,0.04,52.99,90.00,39.66,21.44,23.53
11,25.09,25.05,0.03,0.05,62.51,90.00,30.62,27.73,28.57
12,25.62,24.02,1.60,0.05,55.49,90.00,37.29,28.53,26.16
13,25.01,25.23,0.22,0.03,59.00,90.00,33.95,27.93,29.32
14,23.89,23.50,0.39,0.02,61.90,90.00,31.19,27.52,27.68
15,23.09,22.98,0.11,0.03,57.79,90.00,35.10,26.12,25.42
16,23.21,21.86,1.35,0.05,61.68,90.00,31.40,25.73,25.93
17,24.55,24.87,0.32,0.07,61.97,90.00,31.13,28.31,28.87
18,25.80,26.13,0.32,0.07,63.32,90.00,29.84,29.64,29.99
19,25.58,25.19,0.39,0.10,57.82,90.00,35.08,27.26,27.65
20,23.05,22.69,0.36,0.06,56.52,90.00,36.31,26.62,24.82
21,24.35,26.24,1.89,0.06,58.17,90.00,34.73,27.09,28.88
22,24.85,25.04,0.19,0.06,55.09,90.00,37.66,26.69,27.55
23,24.15,26.11,1.96,0.07,63.49,90.00,29.69,27.81,29.70
24,24.22,24.65,0.43,0.04,61.43,90.00,31.64,27.88,28.68
25,24.12,24.41,0.29,0.05,61.07,90.00,31.98,26.88,28.04
26,23.73,24.66,0.93,0.04,57.91,84.64,29.63,26.51,28.60
27,23.52,24.48,0.96,0.04,54.79,90.00,37.95,25.85,26.83
28,21.86,22.80,0.94,0.03,60.73,90.00,32.30,25.47,26.63
29,25.14,24.85,0.29,0.02,63.37,90.00,29.80,29.19,28.30
30,23.92,23.81,0.10,0.03,54.44,90.00,38.28,24.93,26.18
31,23.87,22.84,1.03,0.02,56.63,90.00,36.20,27.22,26.75
32,23.25,24.86,1.62,0.06,59.50,90.00,33.48,26.93,28.55
33,25.49,26.28,0.78,0.07,60.21,90.00,32.81,27.73,28.88
34,23.55,24.64,1.09,0.06,56.03,90.00,36.77,26.95,26.24
35,24.54,25.15,0.61,0.08,52.81,90.00,39.83,26.29,26.72
36,25.03,25.49,0.45,0.05,61.96,90.00,31.14,27.91,27.41
37,24.99,23.28,1.71,0.05,53.70,90.00,38.98,25.78,25.00
38,25.79,23.65,2.14,0.05,52.88,90.00,39.76,26.44,24.73
39,17.18,21.54,4.36,0.04,45.23,90.00,47.03,17.48,21.41
40,24.11,23.50,0.61,0.00,51.03,90.00,41.52,26.58,25.58
41,23.58,20.49,3.09,0.01,59.02,90.00,33.93,27.14,24.85
42,23.08,22.83,0.25,0.05,61.14,90.00,31.91,25.93,25.94
43,21.04,25.08,4.04,0.03,52.76,90.00,39.88,22.48,28.13
44,23.55,24.62,1.08,0.03,58.46,90.00,34.46,27.24,28.95
45,24.04,22.91,1.13,0.05,55.89,90.00,36.90,27.02,26.17
46,25.06,23.99,1.07,0.03,57.22,90.00,35.64,28.20,27.40
47,22.62,21.92,0.70,0.06,56.96,90.00,35.89,26.89,23.65
48,26.22,23.93,2.29,0.02,54.39,90.00,38.33,28.53,26.96
49,24.28,24.12,0.16,0.03,53.72,90.00,38.96,26.84,26.24
50,24.90,24.11,0.79,0.06,59.75,90.00,33.24,27.43,26.82
51,25.57,26.67,1.10,0.05,53.39,90.00,39.28,26.56,27.28
52,24.26,23.89,0.38,0.04,59.05,90.00,33.90,26.70,26.93
53,25.49,24.72,0.77,0.05,58.51,90.00,34.42,27.49,27.23
54,23.75,22.06,1.68,0.01,59.96,90.00,33.04,28.03,26.00
55,22.98,23.55,0.58,0.07,56.87,90.00,35.97,26.03,25.83
56,22.75,23.62,0.87,0.04,60.68,90.00,32.35,27.08,28.74
57,24.60,25.21,0.61,0.06,58.04,90.00,34.86,27.42,28.91
58,23.44,22.34,1.09,0.02,59.32,90.00,33.65,26.89,25.03
59,22.71,23.75,1.05,0.01,60.99,90.00,32.06,26.49,28.23
60,25.01,26.00,0.99,0.04,52.44,90.00,40.18,26.16,27.29
61,23.32,20.97,2.35,0.05,50.84,90.00,41.70,25.19,22.35
62,25.62,25.67,0.05,0.05,53.52,90.00,39.15,27.51,27.12
63,26.30,23.24,3.06,0.06,53.75,90.00,38.94,27.07,23.20
64,25.36,24.15,1.21,0.06,58.60,90.00,34.33,28.42,26.23
65,23.44,23.82,0.38,0.04,62.49,90.00,30.64,28.54,27.76
66,23.74,19.36,4.39,0.06,51.48,90.00,41.09,25.36,20.94
67,24.88,24.22,0.65,0.02,55.05,90.00,37.70,27.43,26.29
68,24.42,24.51,0.09,0.04,62.32,90.00,30.79,28.92,29.42
69,24.96,23.77,1.19,0.04,57.79,90.00,35.10,28.40,26.74
70,25.86,26.55,0.69,0.03,65.60,90.00,27.68,29.75,30.43
71,25.16,23.52,1.64,0.05,54.91,90.00,37.84,27.09,25.91
72,25.48,23.88,1.60,0.05,55.80,90.00,36.99,27.56,26.13
73,24.15,23.95,0.20,0.03,60.28,90.00,32.73,27.53,27.00
74,24.68,23.84,0.84,0.03,54.21,90.00,38.50,26.85,26.16
75,24.37,25.22,0.85,0.05,59.65,90.00,33.34,27.77,29.13
76,24.10,24.92,0.82,0.06,54.23,90.00,38.48,25.60,26.96
77,24.66,25.18,0.51,0.03,63.76,90.00,29.43,28.55,29.60
78,24.59,24.20,0.40,0.07,60.06,90.00,32.94,26.89,26.82
79,24.69,22.08,2.61,0.05,52.91,90.00,39.73,26.38,23.05
80,24.10,24.49,0.38,0.07,54.96,90.00,37.79,25.54,26.42
81,26.11,22.60,3.51,0.06,63.53,90.00,29.65,30.32,24.59
82,21.88,26.34,4.46,0.06,47.58,90.00,44.79,21.62,27.07
83,24.46,24.08,0.38,0.07,57.05,90.00,35.80,27.14,27.40
84,25.66,25.93,0.26,0.01,58.89,90.00,34.05,29.17,28.93
85,24.01,26.65,2.64,0.05,54.96,90.00,37.79,26.22,27.51
86,22.82,23.17,0.34,0.03,57.70,90.00,35.18,26.41,26.71
87,25.52,24.99,0.53,0.08,57.05,90.00,35.80,28.10,26.55
88,23.65,24.71,1.07,0.03,62.66,90.00,30.47,28.59,28.76
89,26.06,24.61,1.46,0.09,55.53,90.00,37.25,26.89,27.57
90,21.07,24.33,3.26,0.13,52.20,90.00,40.41,21.65,25.87
91,23.16,21.05,2.11,0.06,56.41,90.00,36.41,27.47,23.70
92,22.06,23.82,1.76,0.01,53.19,90.00,39.47,24.32,26.09
93,24.02,21.68,2.33,0.03,61.09,90.00,31.96,26.59,26.06
94,21.94,21.27,0.67,0.02,58.07,90.00,34.83,26.99,25.98
95,23.93,22.55,1.38,0.04,60.41,90.00,32.61,27.97,25.34
96,23.32,24.30,0.98,0.03,58.24,90.00,34.67,25.33,27.17
97,23.37,23.05,0.32,0.03,58.54,90.00,34.39,25.91,25.42
98,23.11,22.98,0.13,0.01,58.43,89.17,33.66,26.91,26.45
99,21.98,23.41,1.44,0.02,61.43,90.00,31.64,24.50,26.88
100,22.40,26.12,3.73,0.07,53.69,90.00,38.99,23.20,29.20
101,25.11,25.07,0.04,0.05,63.61,90.00,29.57,28.20,27.95
102,21.45,23.72,2.27,0.04,60.64,90.00,32.39,24.11,27.36
103,22.68,23.00,0.31,0.02,58.07,90.00,34.84,26.31,25.71
104,24.33,24.66,0.33,0.04,59.49,90.00,33.48,27.45,28.44
105,23.95,23.93,0.02,0.04,53.79,90.00,38.90,26.49,26.37
106,26.44,25.10,1.34,0.10,57.24,90.00,35.62,29.31,27.28
107,24.39,25.36,0.97,0.02,64.61,90.00,28.62,28.52,29.30
108,23.71,24.75,1.04,0.02,56.31,90.00,36.50,25.24,26.70
109,22.89,21.40,1.48,0.04,54.47,90.00,38.26,25.12,23.59
110,22.87,22.66,0.21,0.03,55.80,90.00,36.99,26.38,25.63
111,26.97,27.06,0.09,0.11,53.37,90.00,39.30,27.21,26.78
112,26.10,23.77,2.33,0.03,59.01,90.00,33.94,28.62,26.55
113,25.10,25.41,0.31,0.00,60.29,88.92,31.64,29.58,29.29
114,24.90,24.73,0.17,0.04,61.79,88.48,29.78,29.15,29.93
115,26.81,21.66,5.15,0.06,49.23,90.00,43.23,28.38,21.56
116,24.34,24.31,0.03,0.03,57.46,90.00,35.41,27.05,28.09
