,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,4.65,4.63,0.02,0.00,2.92,8.97,6.20,0.92,0.95,-4.04,-4.26
1,4.97,4.85,0.12,0.00,2.77,8.07,5.44,0.93,0.92,-4.52,-4.37
2,4.36,4.51,0.15,0.01,2.81,8.90,6.24,0.93,0.92,-3.94,-3.78
3,4.22,4.49,0.28,0.00,2.88,9.03,6.30,0.88,0.95,-3.54,-4.12
4,4.12,4.35,0.23,0.00,2.57,9.15,6.71,0.92,0.94,-3.70,-3.84
5,4.71,4.87,0.16,0.00,3.42,9.00,5.75,0.95,0.96,-4.43,-4.39
6,5.37,5.56,0.19,0.07,2.13,6.20,4.18,0.89,0.88,-4.77,-4.56
7,4.74,5.03,0.29,0.00,2.41,7.58,5.29,0.92,0.90,-4.37,-4.27
8,4.91,5.33,0.42,0.01,3.05,7.79,4.90,0.88,0.91,-4.29,-4.66
9,5.14,5.41,0.28,0.01,2.68,7.31,4.76,0.93,0.88,-4.72,-4.38
10,4.90,4.93,0.03,0.01,2.67,8.00,5.46,0.90,0.92,-4.11,-4.27
11,4.44,4.33,0.11,0.01,2.58,8.65,6.20,0.90,0.94,-3.74,-4.11
12,5.02,5.18,0.17,0.01,2.62,7.31,4.83,0.85,0.89,-4.10,-4.53
13,5.10,5.32,0.22,0.03,2.43,6.80,4.49,0.88,0.89,-4.54,-4.48
14,4.65,4.72,0.06,0.00,2.75,8.68,6.06,0.98,0.95,-4.49,-4.25
15,5.32,5.27,0.05,0.01,2.53,7.15,4.75,0.98,0.90,-5.11,-4.47
16,4.40,4.40,0.00,0.01,4.80,10.63,6.08,0.92,0.95,-4.06,-4.24
17,4.62,4.45,0.17,0.00,2.56,8.39,5.96,0.94,0.91,-4.17,-3.84
18,4.98,4.96,0.02,0.00,3.63,8.61,5.16,0.96,0.89,-4.81,-4.17
19,4.25,4.43,0.19,0.00,2.98,9.46,6.64,0.97,0.93,-4.17,-3.90
20,5.68,5.70,0.01,0.01,3.07,7.05,4.13,0.91,0.89,-5.02,-5.07
21,5.46,5.02,0.44,0.02,3.79,8.00,4.40,0.90,0.90,-4.86,-4.60
22,5.14,5.23,0.09,0.00,2.26,6.56,4.41,0.89,0.84,-4.62,-4.27
23,5.42,4.81,0.62,0.00,2.83,7.62,4.92,0.93,0.87,-4.85,-4.21
24,3.86,3.91,0.06,0.00,2.68,9.78,7.23,0.93,0.91,-3.45,-3.27
25,4.82,5.12,0.30,0.02,3.23,8.05,4.98,0.93,0.91,-4.73,-4.45
26,4.63,4.66,0.02,0.00,3.14,9.01,6.03,0.93,0.92,-4.11,-4.07
27,4.78,4.47,0.32,0.01,2.81,8.55,5.88,0.94,0.95,-4.33,-4.37
28,5.24,5.09,0.15,0.00,3.19,8.00,4.97,0.90,0.98,-4.52,-5.16
29,5.23,5.35,0.13,0.00,2.86,7.52,4.81,0.90,0.89,-4.52,-4.53
30,5.04,5.06,0.02,0.00,2.77,7.57,4.94,0.92,0.91,-4.55,-4.38
31,5.66,5.59,0.06,0.01,2.24,6.00,3.87,0.85,0.88,-4.68,-4.87
32,4.50,4.72,0.22,0.00,3.66,9.88,6.40,0.95,0.92,-4.03,-3.84
33,5.89,5.88,0.01,0.03,4.52,7.83,3.53,0.86,0.82,-4.99,-4.82
34,4.91,5.07,0.16,0.00,3.03,8.00,5.12,0.91,0.91,-4.25,-4.34
35,4.31,4.40,0.09,0.00,3.78,9.58,5.99,0.92,0.94,-3.89,-4.13
36,5.20,5.02,0.18,0.03,3.36,7.88,4.68,0.93,0.92,-4.92,-4.65
37,4.71,4.81,0.10,0.00,2.51,8.04,5.66,0.89,0.92,-3.92,-4.09
38,4.83,5.12,0.30,0.00,2.68,7.59,5.04,0.90,0.92,-4.44,-4.74
39,4.41,4.60,0.19,0.00,3.89,10.20,6.50,0.91,0.96,-3.77,-4.25
40,5.65,5.81,0.15,0.03,2.35,6.25,4.01,0.82,0.83,-4.35,-4.56
41,6.00,5.79,0.21,0.10,2.59,5.64,3.18,0.84,0.86,-4.90,-4.91
42,5.38,5.35,0.03,0.00,2.84,7.31,4.62,0.90,0.88,-4.69,-4.48
43,5.06,4.68,0.38,0.01,2.85,8.07,5.37,0.87,0.88,-4.02,-4.17
44,5.28,5.12,0.15,0.01,2.91,7.27,4.51,0.87,0.90,-4.55,-4.66
45,4.79,4.81,0.03,0.00,2.89,8.08,5.34,0.89,0.95,-4.17,-4.55
46,4.38,4.38,0.00,0.00,3.16,9.16,6.16,0.91,0.95,-3.84,-4.09
47,4.91,5.15,0.23,0.00,2.25,7.26,5.12,0.91,0.89,-4.52,-4.44
48,4.21,4.20,0.01,0.00,3.39,9.77,6.55,0.96,0.94,-4.15,-3.91
49,5.75,6.05,0.30,0.03,3.46,6.83,3.55,0.88,0.80,-5.04,-4.57
50,4.79,4.81,0.02,0.00,2.57,8.05,5.61,0.93,0.94,-4.33,-4.42
51,5.56,5.48,0.07,0.00,3.30,7.19,4.06,0.90,0.88,-4.99,-4.77
52,5.71,5.51,0.20,0.03,2.94,6.40,3.60,0.82,0.88,-4.58,-4.96
53,4.89,4.80,0.09,0.00,2.50,7.54,5.16,0.90,0.94,-4.12,-4.55
54,5.06,5.09,0.03,0.01,3.17,8.00,4.99,0.93,0.93,-4.53,-4.63
55,4.47,4.36,0.10,0.00,2.74,8.82,6.22,0.92,0.94,-3.80,-4.00
56,5.35,5.06,0.29,0.01,3.47,8.00,4.71,0.93,0.91,-4.88,-4.73
57,5.63,5.94,0.31,0.14,2.55,5.79,3.37,0.85,0.79,-4.99,-4.57
58,5.27,5.06,0.21,0.01,3.66,8.12,4.64,0.96,0.89,-5.04,-4.43
59,4.98,4.67,0.30,0.00,3.76,9.21,5.64,0.90,0.91,-4.11,-4.14
60,6.41,5.62,0.79,0.08,3.19,5.87,2.84,0.83,0.91,-5.01,-5.51
61,5.00,4.89,0.11,0.00,2.81,7.91,5.23,0.88,0.99,-4.34,-5.05
62,5.61,5.36,0.25,0.01,3.88,8.00,4.32,0.94,0.87,-5.17,-4.51
63,4.45,4.51,0.05,0.00,2.89,8.82,6.07,0.93,0.95,-4.00,-4.33
64,4.52,5.06,0.54,0.00,2.25,7.67,5.54,0.92,0.94,-4.24,-4.44
65,5.22,5.41,0.19,0.00,2.62,7.26,4.76,0.89,0.92,-4.43,-4.85
66,5.09,4.95,0.14,0.02,3.77,8.51,4.93,0.89,0.87,-4.29,-4.16
67,4.54,4.41,0.13,0.00,3.04,8.96,6.07,0.94,0.95,-3.97,-4.04
68,5.12,5.32,0.20,0.02,3.43,7.74,4.48,0.84,0.91,-4.18,-4.92
69,5.22,5.22,0.00,0.04,3.27,7.55,4.44,0.88,0.91,-4.42,-4.74
70,5.94,5.71,0.23,0.01,3.25,6.69,3.61,0.86,0.83,-4.98,-4.73
71,5.12,4.82,0.30,0.00,3.63,8.48,5.03,0.91,0.89,-4.44,-4.24
72,6.13,5.71,0.42,0.01,4.86,8.00,3.38,0.85,0.86,-5.22,-5.13
73,4.51,4.26,0.25,0.00,3.07,9.07,6.15,0.94,0.92,-4.02,-4.00
74,4.57,4.34,0.23,0.00,3.26,9.37,6.28,0.92,0.89,-4.02,-3.66
75,4.75,4.84,0.08,0.00,2.93,8.45,5.67,0.89,0.89,-3.89,-4.00
76,4.35,4.22,0.13,0.00,2.66,9.32,6.79,0.90,0.92,-3.67,-3.72
77,4.67,4.31,0.36,0.00,3.52,9.69,6.35,0.93,0.99,-4.04,-4.39
78,5.26,5.83,0.56,0.05,4.40,7.87,3.69,0.90,0.85,-5.27,-4.85
79,4.42,4.62,0.20,0.00,3.55,9.70,6.32,0.94,0.91,-4.04,-3.92
80,4.72,4.88,0.16,0.00,3.32,8.62,5.46,0.89,0.91,-4.00,-4.17
81,5.86,5.92,0.07,0.06,2.93,6.45,3.67,0.84,0.87,-4.72,-5.01
82,4.46,4.40,0.06,0.00,3.22,9.30,6.25,0.89,0.93,-3.64,-4.00
83,4.22,4.42,0.20,0.00,2.85,9.14,6.42,0.95,0.92,-4.03,-3.79
84,5.34,5.20,0.13,0.00,3.40,7.59,4.37,0.88,0.85,-4.69,-4.32
85,5.71,5.65,0.06,0.08,3.56,7.05,3.67,0.82,0.85,-4.63,-4.82
86,4.43,4.50,0.07,0.00,3.03,9.04,6.16,0.94,0.92,-4.04,-3.91
87,4.72,4.28,0.44,0.00,2.48,8.56,6.20,0.91,0.96,-4.03,-4.28
88,5.33,5.24,0.09,0.01,3.06,7.82,4.91,0.92,0.92,-4.74,-4.76
89,5.32,5.27,0.05,0.00,3.51,8.07,4.73,0.93,0.92,-4.82,-4.68
90,4.69,5.08,0.39,0.02,2.95,7.96,5.16,0.92,0.89,-4.51,-4.39
91,4.58,4.66,0.08,0.00,2.57,8.51,6.07,0.91,0.90,-3.92,-3.85
92,5.46,5.41,0.05,0.00,3.26,7.60,4.50,0.88,0.89,-4.72,-4.92
93,4.87,5.30,0.43,0.01,3.22,8.00,4.94,0.92,0.93,-4.56,-4.64
94,5.22,5.32,0.10,0.02,3.56,8.00,4.61,0.89,0.89,-4.54,-4.59
95,5.16,5.02,0.14,0.01,2.91,7.60,4.83,0.92,0.89,-4.61,-4.34
96,5.45,5.32,0.13,0.01,2.89,7.37,4.62,0.92,0.87,-4.81,-4.41
97,4.90,4.73,0.17,0.00,2.82,8.00,5.32,0.93,0.88,-4.59,-4.05
98,4.58,4.55,0.03,0.00,2.14,8.22,6.19,0.92,0.93,-3.96,-4.04
99,5.13,5.12,0.01,0.00,3.17,8.05,5.04,0.92,0.90,-4.59,-4.35
100,5.23,4.98,0.25,0.00,2.93,7.66,4.88,0.93,0.90,-4.65,-4.46
101,5.81,5.91,0.10,0.08,2.88,6.28,3.54,0.76,0.87,-4.09,-5.02
102,5.23,5.36,0.14,0.01,2.58,7.04,4.59,0.85,0.92,-4.13,-4.70
103,5.90,5.80,0.10,0.05,2.85,5.97,3.26,0.83,0.82,-4.86,-4.78
104,6.16,5.89,0.26,0.05,3.68,6.61,3.12,0.84,0.85,-5.00,-5.09
105,5.15,4.97,0.18,0.00,2.59,7.48,5.02,0.89,0.94,-4.39,-4.65
106,5.22,5.30,0.08,0.02,2.80,7.02,4.35,0.83,0.86,-4.13,-4.45
107,4.89,4.76,0.13,0.01,2.67,8.00,5.47,0.92,0.91,-4.38,-4.34
108,5.18,5.23,0.05,0.02,3.15,7.69,4.70,0.95,0.88,-5.09,-4.59
109,5.19,5.09,0.11,0.02,3.42,8.00,4.75,0.90,0.88,-4.63,-4.34
110,5.80,6.22,0.42,0.15,2.71,5.83,3.26,0.83,0.87,-4.91,-5.19
111,5.68,5.54,0.13,0.00,3.45,7.53,4.25,0.87,0.88,-4.67,-4.76
112,4.50,4.33,0.17,0.00,2.65,8.46,5.94,0.92,0.95,-3.94,-4.12
113,4.22,4.11,0.11,0.00,3.65,10.28,6.81,0.95,0.98,-3.91,-4.08
114,4.36,4.46,0.11,0.00,2.09,8.09,6.10,0.93,0.95,-4.03,-4.04
115,5.21,4.83,0.38,0.00,3.17,8.15,5.14,0.94,0.87,-4.76,-4.06
116,5.01,5.24,0.23,0.02,2.39,7.09,4.82,0.83,0.90,-3.91,-4.54
117,5.08,4.94,0.14,0.00,2.47,7.39,5.05,0.92,0.90,-4.48,-4.41
118,4.64,4.10,0.54,0.00,2.64,9.09,6.58,0.92,0.94,-3.87,-3.91
119,5.28,5.15,0.12,0.02,3.28,8.01,4.89,0.88,0.94,-4.35,-4.94
120,5.27,5.27,0.00,0.00,3.72,8.00,4.47,0.90,0.92,-4.61,-4.89
121,4.44,4.69,0.25,0.00,3.30,9.19,6.06,0.97,0.93,-4.50,-4.06
122,4.36,4.26,0.11,0.00,2.95,9.23,6.42,0.94,0.91,-3.89,-3.61
123,5.21,5.16,0.05,0.00,2.41,6.93,4.65,0.86,0.95,-4.24,-4.93
124,4.29,4.42,0.13,0.01,2.39,8.49,6.23,0.93,0.96,-3.93,-4.17
125,5.81,5.86,0.06,0.05,2.75,6.26,3.65,0.88,0.86,-5.01,-4.94
126,4.57,4.91,0.34,0.00,2.98,8.30,5.47,0.95,0.94,-4.47,-4.39
127,5.05,5.05,0.00,0.00,3.08,8.11,5.19,0.88,0.91,-4.21,-4.49
128,5.06,5.28,0.22,0.00,2.65,7.43,4.91,0.89,0.95,-4.36,-4.89
129,4.98,4.86,0.12,0.00,2.75,7.98,5.36,0.86,0.92,-3.86,-4.35
130,4.57,4.36,0.21,0.00,2.80,8.93,6.27,0.95,0.91,-4.09,-3.79
131,5.27,5.56,0.29,0.08,2.95,7.04,4.25,0.90,0.87,-4.64,-4.42
132,5.26,5.06,0.20,0.00,2.72,7.28,4.70,0.89,0.91,-4.65,-4.87
133,4.61,4.65,0.04,0.00,2.60,8.00,5.53,0.85,0.95,-3.76,-4.56
134,5.07,5.02,0.05,0.00,2.55,6.89,4.47,0.90,0.90,-4.50,-4.48
135,5.27,5.29,0.02,0.04,3.62,8.00,4.56,0.90,0.85,-4.75,-4.16
136,4.53,4.59,0.05,0.00,2.12,8.00,5.99,0.93,0.90,-4.15,-3.89
137,5.24,5.13,0.11,0.01,2.28,6.73,4.56,0.86,0.92,-4.25,-4.70
138,5.15,5.31,0.16,0.01,2.46,6.71,4.37,0.85,0.92,-4.29,-4.81
139,5.23,5.03,0.20,0.01,3.14,7.86,4.88,0.91,0.85,-4.61,-3.94
140,4.99,5.10,0.11,0.03,2.79,7.80,5.15,0.87,0.92,-4.24,-4.56
141,4.29,4.40,0.12,0.00,3.47,9.80,6.50,0.93,0.93,-3.99,-3.91
142,5.22,5.12,0.11,0.01,2.77,7.24,4.61,0.88,0.91,-4.53,-4.68
143,5.33,5.24,0.09,0.00,2.84,7.29,4.59,0.86,0.85,-4.58,-4.41
144,4.67,4.54,0.13,0.00,3.31,9.26,6.12,0.93,0.97,-4.10,-4.32
145,4.72,5.05,0.33,0.01,3.17,8.19,5.17,0.92,0.91,-4.47,-4.51
146,4.53,4.72,0.18,0.01,4.01,9.59,5.78,0.96,0.89,-4.37,-3.86
147,6.11,5.54,0.57,0.02,3.21,6.60,3.55,0.81,0.85,-4.83,-4.98
148,4.50,4.43,0.08,0.00,3.81,9.85,6.22,0.88,0.93,-3.65,-3.95
149,4.43,4.35,0.07,0.00,3.35,9.52,6.34,0.92,0.86,-3.74,-3.33
150,5.25,5.31,0.06,0.00,4.44,9.19,4.97,0.95,0.91,-4.83,-4.61
151,4.51,4.43,0.08,0.00,3.04,9.26,6.37,0.88,0.98,-3.61,-4.24
152,4.32,4.53,0.21,0.00,3.07,9.11,6.19,0.94,0.90,-4.10,-3.80
153,5.12,5.05,0.07,0.00,2.49,7.62,5.25,0.88,0.90,-4.17,-4.28
154,5.87,5.81,0.06,0.08,4.38,7.39,3.22,0.84,0.84,-5.00,-5.01
155,4.76,4.49,0.27,0.01,2.76,8.76,6.14,0.92,0.93,-3.94,-3.94
156,4.53,4.15,0.38,0.00,3.04,9.24,6.35,0.93,0.94,-3.91,-3.99
157,5.01,4.89,0.13,0.00,3.66,8.87,5.39,0.88,0.89,-4.12,-4.28
158,4.92,5.39,0.47,0.03,2.48,7.08,4.72,0.89,0.90,-4.29,-4.39
159,5.97,6.05,0.08,0.12,2.99,5.81,2.97,0.83,0.83,-4.90,-4.97
160,4.98,5.29,0.32,0.00,2.82,7.79,5.11,0.88,0.91,-4.06,-4.42
161,5.04,5.20,0.16,0.02,3.49,8.15,4.83,0.90,0.99,-4.38,-5.26
162,4.66,4.45,0.20,0.00,3.05,8.77,5.87,0.93,0.97,-4.13,-4.42
163,4.92,4.80,0.12,0.00,2.77,7.85,5.22,0.92,0.90,-4.47,-4.36
164,5.37,5.22,0.15,0.00,3.21,7.56,4.51,0.83,0.85,-4.22,-4.36
