,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,25.80,22.49,3.31,0.04,23.49,55.69,33.38,0.83,0.89,-19.17,-22.60
1,26.75,23.79,2.96,0.07,17.20,46.42,30.09,0.91,0.87,-26.30,-22.12
2,23.42,25.52,2.10,0.05,29.68,60.12,31.92,0.85,0.86,-20.12,-22.28
3,25.29,23.84,1.45,0.04,20.72,53.54,33.85,0.91,0.88,-22.85,-21.62
4,24.56,25.05,0.49,0.05,36.34,66.39,31.87,0.89,0.89,-22.54,-22.64
5,26.13,24.87,1.27,0.04,37.20,66.55,31.21,0.84,0.90,-21.25,-24.66
6,23.27,28.25,4.98,0.12,25.59,58.18,33.87,0.84,0.93,-18.74,-26.93
7,25.57,23.51,2.06,0.03,24.10,54.32,31.42,0.89,0.88,-22.58,-21.34
8,23.73,25.60,1.86,0.06,24.23,56.06,33.04,0.86,0.88,-20.03,-23.67
9,22.39,26.27,3.88,0.08,14.84,47.31,33.21,0.89,0.90,-21.23,-23.18
10,23.46,26.33,2.86,0.07,36.32,67.16,32.66,0.88,0.92,-20.88,-25.48
11,23.13,27.05,3.93,0.06,29.92,61.38,32.96,0.88,0.87,-22.66,-22.02
12,25.34,24.93,0.41,0.07,23.81,52.11,29.50,0.90,0.87,-24.92,-21.24
13,23.02,26.83,3.81,0.08,12.89,45.17,32.93,0.89,0.89,-21.78,-23.57
14,20.89,23.76,2.87,0.11,23.89,59.02,36.32,0.89,0.88,-17.85,-18.99
15,25.89,25.45,0.44,0.11,30.59,61.97,32.91,0.89,0.84,-23.38,-20.15
16,26.85,26.71,0.14,0.08,25.98,52.77,28.08,0.88,0.88,-24.59,-23.90
17,25.59,26.05,0.46,0.04,27.13,57.02,31.25,0.89,0.89,-22.81,-23.89
18,23.46,27.25,3.79,0.07,22.48,53.44,32.09,0.90,0.91,-22.68,-24.69
19,22.71,24.80,2.09,0.05,26.77,58.85,33.42,0.88,0.90,-20.59,-22.73
20,24.61,25.04,0.43,0.04,21.00,50.82,30.88,0.89,0.87,-22.75,-22.33
21,26.28,21.79,4.49,0.09,24.62,58.44,35.05,0.86,0.83,-23.02,-15.11
22,25.60,25.78,0.18,0.06,18.60,47.37,29.71,0.87,0.87,-22.37,-23.40
23,25.61,25.68,0.07,0.10,31.21,60.48,30.83,0.89,0.86,-23.81,-22.71
24,25.02,26.10,1.08,0.16,21.45,52.71,32.33,0.89,0.85,-24.32,-19.31
25,23.20,23.16,0.04,0.05,18.39,51.76,34.28,0.91,0.84,-23.12,-17.12
26,21.38,26.31,4.94,0.09,22.61,55.68,34.21,0.86,0.92,-17.38,-25.54
27,22.90,25.56,2.66,0.01,19.71,49.66,30.93,0.84,0.85,-18.35,-23.37
28,27.17,24.62,2.55,0.08,20.31,47.46,28.16,0.87,0.94,-23.10,-26.73
29,24.02,25.63,1.61,0.06,22.07,54.25,33.28,0.89,0.89,-22.58,-22.42
30,24.57,27.11,2.55,0.03,28.23,57.35,30.53,0.92,0.90,-24.72,-24.92
31,24.53,26.90,2.37,0.10,25.30,55.16,31.13,0.86,0.85,-20.97,-23.01
32,22.19,26.55,4.36,0.05,33.01,64.18,32.82,0.89,0.88,-21.83,-23.99
33,24.51,25.98,1.47,0.04,18.04,48.29,31.16,0.87,0.90,-21.28,-25.07
34,27.46,24.07,3.40,0.06,21.08,50.97,30.95,0.91,0.84,-25.85,-20.27
35,21.96,26.55,4.59,0.09,27.31,59.59,33.64,0.87,0.88,-19.49,-22.76
36,24.87,23.75,1.12,0.08,22.65,54.47,32.96,0.87,0.86,-21.21,-20.80
37,25.04,21.70,3.34,0.05,25.36,58.13,34.04,0.88,0.78,-23.69,-13.33
38,24.26,23.76,0.51,0.04,24.11,58.10,35.19,0.84,0.88,-18.45,-22.99
39,24.96,25.63,0.67,0.04,18.31,46.19,28.79,0.89,0.91,-22.25,-26.21
40,26.15,24.45,1.70,0.10,23.82,56.49,33.87,0.89,0.88,-23.17,-21.48
41,26.67,25.10,1.57,0.05,40.60,71.74,33.17,0.89,0.92,-23.26,-25.03
42,21.56,25.43,3.87,0.08,17.88,51.28,34.29,0.84,0.88,-17.27,-21.47
43,23.15,24.90,1.75,0.08,24.12,56.55,33.64,0.86,0.88,-19.93,-21.87
44,28.13,25.33,2.80,0.03,23.28,50.37,28.26,0.91,0.89,-26.91,-24.25
45,23.56,25.15,1.59,0.05,22.09,53.93,32.94,0.83,0.86,-18.38,-22.57
46,24.78,23.96,0.82,0.06,20.85,52.61,32.80,0.89,0.83,-22.58,-19.05
47,22.43,27.08,4.65,0.05,20.65,50.43,30.82,0.87,0.90,-20.70,-24.56
48,25.61,22.80,2.80,0.05,18.51,50.38,32.79,0.93,0.85,-25.56,-18.63
49,24.64,23.75,0.89,0.07,22.32,58.10,36.89,0.88,0.88,-20.33,-20.50
50,23.99,28.27,4.28,0.10,26.95,56.31,30.71,0.88,0.89,-23.28,-24.26
51,23.87,21.10,2.77,0.04,24.22,60.79,37.78,0.87,0.84,-20.43,-15.98
52,25.77,24.14,1.63,0.05,34.84,66.34,33.24,0.92,0.85,-26.77,-18.95
53,24.70,25.88,1.18,0.08,29.14,59.38,31.70,0.87,0.88,-21.34,-23.06
54,24.13,23.91,0.22,0.04,18.06,46.87,29.71,0.86,0.87,-22.28,-21.55
55,25.19,22.06,3.13,0.02,25.45,58.09,33.92,0.90,0.87,-23.38,-19.52
56,26.26,25.51,0.75,0.06,19.78,48.14,29.35,0.92,0.90,-24.98,-23.93
57,24.11,24.09,0.02,0.04,29.06,62.00,34.39,0.85,0.87,-19.34,-21.59
