,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,22.62,23.49,0.87,0.06,49.42,83.23,36.28,0.88,0.89,-19.30,-21.60
1,22.44,22.35,0.10,0.08,42.02,79.42,39.50,0.85,0.85,-19.57,-16.34
2,24.52,25.14,0.62,0.08,57.99,90.00,34.91,0.89,0.88,-22.57,-21.96
3,23.72,25.31,1.59,0.08,52.58,82.71,32.75,0.92,0.90,-23.34,-21.88
4,25.51,24.97,0.54,0.06,48.67,78.49,32.25,0.93,0.93,-24.97,-23.71
5,24.94,25.65,0.70,0.06,52.19,83.30,33.72,0.85,0.90,-19.69,-24.68
6,22.72,24.53,1.81,0.06,56.22,90.00,36.59,0.85,0.85,-20.29,-19.65
7,22.70,28.44,5.75,0.11,59.22,90.00,33.74,0.81,0.91,-14.78,-28.28
8,23.25,23.39,0.14,0.04,57.99,89.43,34.34,0.90,0.87,-22.60,-19.91
9,23.01,27.55,4.54,0.06,54.24,83.92,32.39,0.86,0.92,-20.17,-26.84
10,23.81,24.89,1.08,0.01,51.18,81.40,32.77,0.90,0.89,-23.76,-22.62
11,25.71,23.89,1.82,0.03,61.31,90.00,31.75,0.90,0.87,-24.55,-21.52
12,26.65,23.53,3.12,0.08,52.09,80.21,30.72,0.90,0.83,-25.63,-19.66
13,24.15,24.99,0.84,0.05,43.43,76.86,35.61,0.86,0.87,-20.89,-20.99
14,25.84,21.94,3.89,0.04,49.71,81.28,34.06,0.92,0.86,-25.78,-18.49
15,25.52,25.09,0.43,0.03,44.37,71.84,29.69,0.90,0.89,-23.68,-23.50
16,24.23,24.18,0.05,0.02,57.61,89.27,34.54,0.89,0.88,-22.30,-23.57
17,26.34,24.33,2.01,0.06,49.35,78.95,32.07,0.86,0.85,-23.97,-21.27
18,25.20,26.34,1.14,0.05,50.58,80.71,32.66,0.88,0.87,-22.82,-23.22
19,25.29,23.42,1.88,0.07,50.40,81.72,33.83,0.90,0.86,-24.48,-19.75
20,22.73,22.41,0.32,0.05,55.88,88.41,35.32,0.87,0.87,-18.76,-19.80
21,23.46,25.94,2.48,0.08,47.69,83.73,38.42,0.86,0.88,-18.54,-22.05
22,24.95,27.13,2.18,0.05,45.96,75.77,32.11,0.88,0.94,-22.26,-26.57
23,27.55,21.46,6.09,0.04,55.73,86.53,33.59,0.91,0.84,-25.32,-17.59
24,24.14,25.42,1.28,0.02,54.38,84.54,32.87,0.88,0.90,-21.49,-24.35
25,23.58,23.92,0.34,0.05,48.95,81.90,35.39,0.92,0.90,-22.95,-21.95
26,25.91,24.93,0.98,0.08,47.14,77.47,32.69,0.88,0.89,-23.16,-22.76
27,24.84,24.39,0.44,0.07,53.47,85.17,34.37,0.85,0.87,-19.52,-21.56
28,27.86,24.63,3.23,0.07,46.15,76.35,32.51,0.90,0.87,-25.59,-21.26
29,25.32,23.50,1.81,0.05,56.38,90.00,36.44,0.88,0.85,-21.55,-19.57
30,23.79,25.17,1.38,0.06,57.66,90.00,35.23,0.85,0.88,-21.03,-22.64
31,25.35,25.55,0.20,0.06,47.54,78.80,33.63,0.91,0.86,-25.33,-21.45
32,25.37,26.78,1.41,0.08,51.86,85.88,36.61,0.84,0.85,-19.07,-22.47
33,26.35,24.21,2.14,0.04,53.57,90.00,39.10,0.93,0.88,-24.73,-20.22
34,25.08,25.79,0.72,0.03,46.23,77.04,33.12,0.85,0.86,-21.42,-23.07
35,23.56,24.18,0.62,0.10,53.43,90.00,39.24,0.89,0.86,-22.25,-18.09
36,24.22,24.94,0.72,0.08,51.58,87.06,38.05,0.89,0.87,-22.00,-18.74
37,21.53,22.46,0.93,0.07,55.05,88.77,36.48,0.86,0.88,-17.24,-19.89
38,25.43,25.50,0.07,0.08,51.43,77.18,28.33,0.86,0.89,-24.04,-24.01
39,23.66,22.39,1.27,0.04,55.83,84.12,31.08,0.90,0.87,-23.71,-19.65
40,26.49,24.56,1.93,0.07,47.72,77.07,31.73,0.85,0.92,-20.72,-25.50
41,22.92,24.56,1.64,0.10,60.27,88.00,30.74,0.88,0.89,-20.91,-23.06
42,24.74,22.31,2.43,0.02,35.97,66.73,32.56,0.87,0.88,-21.96,-21.01
43,25.62,25.34,0.28,0.03,57.96,90.00,34.94,0.87,0.87,-21.89,-22.96
44,22.82,24.10,1.28,0.05,55.57,87.94,35.14,0.79,0.85,-15.57,-22.77
45,28.20,22.96,5.24,0.07,49.68,80.73,33.53,0.91,0.89,-25.67,-20.51
46,24.61,21.38,3.23,0.02,54.58,87.12,35.27,0.89,0.87,-22.07,-19.01
47,25.24,24.50,0.74,0.06,49.77,85.75,38.47,0.88,0.90,-20.65,-22.61
48,24.02,23.79,0.24,0.04,37.54,71.87,36.21,0.88,0.87,-22.09,-20.00
49,25.07,26.02,0.95,0.06,54.48,85.13,33.37,0.89,0.93,-21.37,-27.03
50,24.33,24.92,0.59,0.01,53.79,90.00,38.90,0.87,0.85,-20.32,-20.19
51,23.30,21.85,1.45,0.06,50.43,82.07,34.16,0.90,0.85,-21.68,-18.22
52,23.96,24.87,0.91,0.05,59.74,88.95,32.20,0.88,0.87,-21.25,-21.96
53,25.98,25.05,0.93,0.05,54.24,89.58,38.06,0.85,0.84,-21.42,-20.06
54,26.43,24.22,2.20,0.02,47.77,72.39,27.01,0.91,0.89,-26.43,-24.22
55,24.71,24.34,0.37,0.06,50.30,79.59,31.80,0.89,0.90,-22.49,-23.21
56,22.32,27.09,4.76,0.06,39.56,72.74,35.16,0.81,0.90,-16.22,-25.62
57,25.22,24.88,0.34,0.06,56.10,85.66,32.36,0.92,0.87,-26.15,-21.29
58,23.04,25.86,2.82,0.06,51.51,86.18,37.24,0.85,0.87,-18.48,-21.93
59,25.32,25.84,0.52,0.06,48.69,84.41,38.15,0.87,0.90,-21.41,-22.71
60,24.64,25.84,1.20,0.07,52.45,84.97,35.15,0.86,0.88,-20.00,-23.49
61,23.61,25.37,1.75,0.07,53.47,84.90,34.10,0.90,0.89,-21.68,-22.53
62,25.05,23.50,1.54,0.09,55.21,90.00,37.55,0.92,0.87,-23.51,-18.50
63,25.25,27.19,1.94,0.03,61.65,90.00,31.43,0.89,0.89,-23.47,-24.98
64,23.64,27.86,4.22,0.06,50.47,84.12,36.17,0.83,0.91,-17.66,-27.28
65,23.05,25.60,2.55,0.04,38.06,68.02,31.87,0.85,0.88,-19.44,-24.30
66,27.57,23.77,3.80,0.06,53.95,83.29,32.03,0.89,0.81,-26.18,-19.02
67,23.33,27.16,3.83,0.09,58.29,90.00,34.62,0.81,0.89,-16.64,-25.60
68,24.31,24.79,0.48,0.11,59.22,90.00,33.74,0.87,0.85,-22.52,-19.84
69,27.09,22.61,4.49,0.03,48.84,73.53,27.13,0.88,0.85,-26.18,-20.83
70,23.88,25.78,1.90,0.05,50.96,75.52,27.10,0.86,0.90,-22.12,-26.41
71,24.95,24.13,0.82,0.05,50.98,85.44,37.01,0.88,0.92,-21.09,-23.16
72,24.18,22.94,1.24,0.05,48.08,82.68,37.01,0.88,0.89,-20.50,-20.43
73,24.14,28.54,4.39,0.09,49.22,77.75,30.99,0.86,0.90,-21.33,-26.96
74,27.54,24.72,2.82,0.09,59.41,90.00,33.56,0.91,0.85,-26.32,-20.19
75,26.28,26.86,0.58,0.07,50.21,82.07,34.37,0.90,0.87,-24.58,-22.62
76,22.47,25.20,2.73,0.13,58.68,90.00,34.25,0.87,0.92,-19.38,-23.67
77,23.22,24.85,1.63,0.00,50.56,77.01,28.97,0.89,0.91,-21.89,-26.06
78,23.47,26.12,2.65,0.07,58.73,90.00,34.21,0.90,0.92,-21.85,-24.21
79,24.31,23.87,0.43,0.01,44.65,80.47,38.05,0.90,0.89,-22.48,-21.68
80,24.69,25.72,1.04,0.07,52.91,82.02,31.75,0.89,0.89,-21.84,-23.86
81,27.24,26.43,0.81,0.06,61.30,90.00,31.77,0.90,0.85,-26.97,-20.96
82,26.35,25.71,0.65,0.08,63.88,90.00,29.32,0.90,0.86,-25.40,-23.18
83,24.13,21.46,2.67,0.05,53.69,89.33,38.33,0.85,0.86,-18.61,-17.67
84,21.63,26.86,5.23,0.11,57.82,88.72,33.80,0.81,0.89,-16.24,-25.26
85,28.61,21.80,6.81,0.04,42.74,75.35,34.74,0.87,0.85,-24.63,-18.60
86,26.09,24.47,1.63,0.05,47.73,79.08,33.73,0.92,0.85,-24.78,-20.80
87,23.08,26.78,3.71,0.06,55.65,88.89,36.02,0.89,0.89,-22.46,-23.19
88,24.97,23.60,1.37,0.05,60.33,90.00,32.69,0.92,0.88,-24.64,-22.02
89,22.23,26.34,4.11,0.08,56.64,85.79,31.99,0.81,0.88,-16.32,-26.16
90,26.00,25.75,0.25,0.03,51.48,80.89,31.98,0.86,0.87,-22.43,-23.77
91,25.44,26.69,1.25,0.06,44.40,77.57,35.39,0.88,0.86,-21.50,-22.72
92,25.42,24.84,0.58,0.04,47.89,78.68,33.18,0.83,0.89,-20.77,-24.08
93,27.00,23.09,3.91,0.06,46.51,81.32,37.13,0.89,0.87,-23.25,-20.05
94,21.56,21.89,0.33,0.06,47.04,83.84,39.15,0.88,0.91,-17.83,-20.01
95,26.17,21.28,4.89,0.04,49.82,80.68,33.35,0.87,0.82,-23.88,-16.22
96,23.45,23.41,0.04,0.05,50.66,81.56,33.43,0.88,0.88,-21.01,-21.60
97,22.47,26.64,4.17,0.07,48.60,79.39,33.22,0.85,0.92,-19.31,-25.73
98,25.14,25.74,0.59,0.10,55.16,89.42,37.02,0.90,0.90,-23.08,-21.63
99,22.23,23.42,1.19,0.03,44.98,74.04,31.31,0.90,0.89,-21.65,-21.01
100,24.30,27.82,3.53,0.08,57.51,90.00,35.36,0.87,0.88,-22.56,-24.16
101,26.80,23.47,3.33,0.06,59.75,90.00,33.23,0.92,0.86,-25.84,-20.32
102,26.43,25.67,0.76,0.03,45.51,76.43,33.20,0.88,0.87,-24.68,-22.62
103,24.33,24.12,0.21,0.04,48.32,80.74,34.83,0.86,0.90,-20.52,-23.48
104,25.18,24.77,0.40,0.08,50.61,84.18,36.11,0.90,0.85,-23.38,-20.39
105,26.55,23.99,2.56,0.06,51.46,82.60,33.71,0.92,0.87,-25.91,-20.59
106,26.71,22.68,4.03,0.04,35.05,63.98,30.68,0.89,0.85,-24.91,-20.00
107,26.06,25.91,0.15,0.06,59.35,90.00,33.61,0.90,0.88,-24.47,-22.25
108,21.44,28.94,7.50,0.03,44.01,77.16,35.35,0.82,0.92,-16.01,-28.44
109,21.17,20.49,0.68,0.07,46.50,82.90,38.73,0.87,0.86,-17.90,-15.60
110,26.72,25.69,1.03,0.11,50.51,83.01,35.03,0.89,0.85,-25.50,-19.55
111,21.68,24.91,3.23,0.11,44.66,76.19,33.77,0.85,0.84,-18.51,-19.83
112,20.39,21.67,1.28,0.07,43.20,80.19,39.15,0.84,0.89,-14.78,-19.35
113,27.81,20.79,7.02,0.04,49.69,81.99,34.78,0.89,0.85,-26.09,-16.31
114,23.65,26.17,2.51,0.06,47.03,81.28,36.60,0.83,0.88,-18.58,-22.67
115,28.14,24.00,4.14,0.04,58.72,90.00,34.21,0.91,0.86,-26.17,-20.31
116,24.20,24.46,0.26,0.01,58.58,90.00,34.35,0.89,0.88,-22.26,-22.80
117,24.44,25.35,0.91,0.07,57.84,88.10,33.14,0.90,0.88,-23.31,-21.91
118,27.23,26.02,1.21,0.09,49.25,80.48,33.69,0.92,0.88,-25.23,-23.04
119,25.33,21.97,3.36,0.08,52.03,90.00,40.57,0.91,0.83,-23.96,-15.02
