,Model,Max CVaR,Max VaR,Max SemiVar,$|VaR_2 - VaR_1|$,Required Capital,Average Cost,N
0,Baseline,0.62,0.63,0.04,0.04,0.49,0.51,40
1,,"[0.52, 0.7]","[0.57, 0.7]","[0.0, 0.16]","[0.0, 0.09]","[0.28, 0.82]","[0.22, 0.84]",40
2,Opt,0.64,0.62,0.03,0.03,0.43,0.52,40
3,,"[0.56, 0.72]","[0.57, 0.7]","[0.0, 0.12]","[0.01, 0.09]","[0.25, 0.7]","[0.23, 0.78]",40
4,Diff,-0.01,0.0,0.01,0.0,0.07,0.0,40
5,,"[-0.07, 0.03]","[-0.04, 0.03]","[-0.0, 0.05]","[-0.04, 0.06]","[0.02, 0.17]","[-0.04, 0.04]",40
0,Baseline,0.62,0.64,0.02,0.02,0.65,0.57,80
1,,"[0.56, 0.69]","[0.59, 0.68]","[0.01, 0.07]","[0.0, 0.06]","[0.41, 0.95]","[0.34, 0.81]",80
2,Opt,0.65,0.64,0.01,0.03,0.55,0.58,80
3,,"[0.6, 0.71]","[0.6, 0.69]","[0.0, 0.05]","[0.0, 0.07]","[0.36, 0.82]","[0.37, 0.78]",80
4,Diff,-0.03,0.0,0.01,-0.0,0.1,-0.0,80
5,,"[-0.06, 0.0]","[-0.03, 0.03]","[-0.0, 0.02]","[-0.05, 0.03]","[0.04, 0.17]","[-0.03, 0.02]",80
0,Baseline,0.63,0.65,0.01,0.02,0.75,0.6,120
1,,"[0.59, 0.7]","[0.61, 0.71]","[0.0, 0.05]","[0.0, 0.06]","[0.46, 0.99]","[0.43, 0.75]",120
2,Opt,0.65,0.64,0.01,0.02,0.63,0.6,120
3,,"[0.61, 0.73]","[0.61, 0.7]","[0.0, 0.03]","[0.0, 0.07]","[0.4, 0.84]","[0.45, 0.75]",120
4,Diff,-0.02,0.0,0.0,-0.0,0.1,-0.01,120
5,,"[-0.05, 0.0]","[-0.03, 0.02]","[-0.0, 0.02]","[-0.04, 0.03]","[0.06, 0.2]","[-0.03, 0.01]",120
0,Baseline,0.63,0.64,0.02,0.02,0.79,0.64,160
1,,"[0.56, 0.67]","[0.6, 0.69]","[0.0, 0.06]","[0.0, 0.06]","[0.58, 1.07]","[0.5, 0.8]",160
2,Opt,0.66,0.64,0.01,0.02,0.66,0.62,160
3,,"[0.6, 0.69]","[0.6, 0.67]","[0.0, 0.04]","[0.0, 0.06]","[0.49, 0.9]","[0.49, 0.78]",160
4,Diff,-0.03,0.0,0.01,-0.0,0.12,0.01,160
5,,"[-0.05, -0.0]","[-0.02, 0.02]","[0.0, 0.02]","[-0.03, 0.03]","[0.07, 0.2]","[-0.01, 0.04]",160
0,Baseline,0.62,0.64,0.02,0.02,0.82,0.65,200
1,,"[0.58, 0.67]","[0.62, 0.68]","[0.0, 0.05]","[0.0, 0.05]","[0.62, 1.14]","[0.47, 0.76]",200
2,Opt,0.65,0.64,0.01,0.02,0.7,0.64,200
3,,"[0.61, 0.7]","[0.61, 0.68]","[0.0, 0.04]","[0.0, 0.06]","[0.51, 0.98]","[0.49, 0.75]",200
4,Diff,-0.03,0.0,0.01,0.0,0.12,0.0,200
5,,"[-0.05, -0.01]","[-0.02, 0.02]","[0.0, 0.02]","[-0.03, 0.02]","[0.07, 0.19]","[-0.02, 0.02]",200
0,Baseline,0.63,0.65,0.01,0.01,0.93,0.68,400
1,,"[0.6, 0.66]","[0.63, 0.68]","[0.01, 0.03]","[0.0, 0.03]","[0.7, 1.24]","[0.54, 0.83]",400
2,Opt,0.66,0.65,0.01,0.01,0.8,0.69,400
3,,"[0.62, 0.68]","[0.62, 0.68]","[0.0, 0.02]","[0.0, 0.04]","[0.62, 1.07]","[0.54, 0.82]",400
4,Diff,-0.02,0.0,0.01,0.0,0.12,0.0,400
5,,"[-0.04, -0.01]","[-0.01, 0.02]","[0.0, 0.01]","[-0.02, 0.02]","[0.09, 0.2]","[-0.01, 0.01]",400
